Metal,Pair,N_windows,Min,Q25,Median,Q75,Max,Latest
Copper,ONI-return,355,-0.4179503797936278,-0.24870134058060478,-0.11649495727276286,0.010328528619646574,0.26851532907411224,0.02306549432094386
Copper,dONI-return,355,-0.22795448946712482,-0.08965431906801546,-0.01383857556170922,0.10452912826254263,0.37119539593784917,-0.09970537328814952
Aluminum,ONI-return,355,-0.5085179407163971,-0.1873530214991734,-0.0837195591219477,0.06144868898110042,0.27591928288525985,-0.050514031134815195
Aluminum,dONI-return,355,-0.21750881736100425,-0.08095328491544096,0.04953696814358084,0.1843820268033886,0.39960848640619034,-0.1595074977506848
Nickel,ONI-return,355,-0.4003180782153543,-0.282435748842486,-0.12880584251157778,0.13338374321871332,0.2878272522891884,-0.2143663567688265
Nickel,dONI-return,355,-0.42057534926459494,-0.24606857125069523,0.0984739246932331,0.16017051537887134,0.30162487707610275,-0.1769200368410184
