Date,ONI,dONI,Copper,Aluminum,Nickel,ret_Copper,ret_Aluminum,ret_Nickel
1992-01-01,1.5,,2150.57962901611,1181.22729492188,7531.13671875,,,
1992-02-01,1.5,0.0,2208.89225860596,1270.75,7888.0,2.6753748720269144,7.305329893394408,4.6296628216305535
1992-03-01,1.4,-0.10000000000000009,2231.78550956421,1282.02270507813,7430.455078125,1.0310792618989595,0.8831791666139566,-5.9755511708070586
1992-04-01,1.3,-0.09999999999999987,2214.16681599274,1317.125,7417.951171875,-0.7925764610944519,2.701226192654005,-0.16842089305946217
1992-05-01,1.1,-0.19999999999999996,2219.31505581207,1306.71069335938,7333.947265625,0.2322437435046787,-0.7938272473435148,-1.1389017435849524
1992-06-01,0.7,-0.40000000000000013,2296.44193858643,1275.27270507813,7202.36328125,3.4162327037800644,-2.435301638836318,-1.8104673553699158
1992-07-01,0.4,-0.29999999999999993,2527.28502240143,1314.34790039063,7516.173828125,9.578467096759535,3.0180607319191033,4.264800335580254
1992-08-01,0.1,-0.30000000000000004,2513.46998458252,1305.55004882813,7279.75,-0.548135046808973,-0.6716204068773379,-3.196068806832386
1992-09-01,-0.1,-0.2,2419.61418178101,1270.21435546875,6918.572265625,-3.8056163954953703,-2.7438775264401194,-5.088709261330671
1992-10-01,-0.2,-0.1,2262.45696237183,1180.84106445313,6322.5,-6.715672418740315,-7.295871899588846,-9.00947287843099
1992-11-01,-0.2,0.0,2161.78909368286,1162.21435546875,5593.71484375,-4.55152112844015,-1.589983850537191,-12.24710814569061
1992-12-01,0.0,0.2,2211.95028749237,1209.02380371094,5751.1904296875,2.2938446428147685,3.9486147638404745,2.776324652617035
1993-01-01,0.1,0.1,2264.21397077332,1208.09997558594,5948.10009765625,2.3353056535359684,-0.07644028641777822,3.366499261730027
1993-02-01,0.3,0.19999999999999998,2212.18139313507,1203.15002441406,6050.75,-2.324858150631748,-0.4105719544049258,1.711037405308602
1993-03-01,0.5,0.2,2152.38020099945,1150.47827148438,5974.9130859375,-2.740478440618599,-4.476539362579146,-1.2612679876468746
1993-04-01,0.7,0.19999999999999996,1953.62060192108,1110.27502441406,5987.5,-9.688993008392899,-3.556998978811343,0.21044113118691143
1993-05-01,0.8,0.10000000000000009,1799.35169844818,1125.42102050781,5777.78955078125,-8.22579374401693,1.3549451720493266,-3.565278385868531
1993-06-01,0.6,-0.20000000000000007,1857.87070840454,1168.09094238281,5544.318359375,3.2004619038385584,3.721353690681539,-4.124749450975784
1993-07-01,0.3,-0.3,1927.33981992645,1203.18176269531,5051.181640625,3.670966896383998,2.959877376012088,-9.315148020972686
1993-08-01,0.2,-0.09999999999999998,1951.07137548676,1172.76196289063,4740.47607421875,1.2237924524811206,-2.5607897873008767,-6.348463589650422
1993-09-01,0.2,0.0,1858.24999750519,1116.90905761719,4376.04541015625,-4.874346174375699,-4.879651875501345,-7.999212610414119
1993-10-01,0.2,0.0,1646.99992897491,1089.42858886719,4464.85693359375,-12.067977520912088,-2.4911771749009937,2.0091729908576994
1993-11-01,0.2,0.0,1632.56810484467,1040.02270507813,4642.27294921875,-0.8801108644879818,-4.641078366631746,3.89669339746721
1993-12-01,0.2,0.0,1723.6250736618,1091.34997558594,5139.7998046875,5.42753744896185,4.817289491157073,10.181002416271667
1994-01-01,0.1,-0.1,1807.07136699066,1170.0,5584.0478515625,4.727783165136845,6.9588309177229135,8.289980462506286
1994-02-01,0.0,-0.1,1865.07501472778,1270.52502441406,5830.10009765625,3.1593769093332114,8.242647128295122,4.312023479506699
1994-03-01,0.0,0.0,1913.17391866455,1287.69567871094,5590.4345703125,2.546232576008034,1.3424105379629125,-4.197714481482251
1994-04-01,0.2,0.2,1881.36846713562,1277.28942871094,5400.26318359375,-1.6764180324961409,-0.8114126717250869,-3.4609334724359897
1994-05-01,0.3,0.09999999999999998,2144.50007046051,1321.04760742188,6082.85693359375,13.090703773503432,3.368486506228674,11.902678592273297
1994-06-01,0.2,-0.09999999999999998,2363.09102303009,1402.36364746094,6287.04541015625,9.706405974601129,5.973406880944054,3.301675623261069
1994-07-01,0.3,0.09999999999999998,2447.23803404999,1491.95239257813,6230.5712890625,3.498953802075988,6.192646018606318,-0.9023203956267878
1994-08-01,0.3,0.0,2409.74997397766,1457.06823730469,5856.13623046875,-1.5437058714781848,-2.3659232581993983,-6.197798849606784
1994-09-01,0.5,0.2,2504.84103139343,1571.09094238281,6370.681640625,3.8702275118370544,7.53438855803541,8.421643201840112
1994-10-01,0.7,0.19999999999999996,2546.02375416412,1694.26196289063,6735.85693359375,1.6307558083914486,7.547698007487824,5.573856583337111
1994-11-01,0.9,0.20000000000000007,2803.54541098175,1885.88635253906,7474.54541015625,9.635200432526858,10.71506980467758,10.405826509273375
1994-12-01,1.0,0.09999999999999998,2980.69999645081,1878.375,8540.650390625,6.1273336660199185,-0.399088256904534,13.3333860320759
1995-01-01,0.9,-0.09999999999999998,3003.26189506836,2059.35717773438,9596.1904296875,0.7540825272577045,9.198684309660976,11.652902642154395
1995-02-01,0.7,-0.20000000000000007,2870.45015814514,1905.44995117188,8431.25,-4.523012934364612,-7.767570893042741,-12.942114850101838
1995-03-01,0.5,-0.19999999999999996,2919.67397804871,1799.97827148438,7522.39111328125,1.7003091693680084,-5.6943582098243795,-11.40609863613804
1995-04-01,0.2,-0.3,2894.88882296448,1849.44445800781,7405.0,-0.8525251527069955,2.711070759282741,-1.5728606892787766
1995-05-01,0.0,-0.2,2771.57125569763,1765.47619628906,7262.380859375,-4.353230746314107,-4.646484743142487,-1.9447730581630296
1995-06-01,-0.1,-0.1,2987.68194348755,1775.79541015625,7877.27294921875,7.5083417285672915,0.58279873571081,8.127405440060365
1995-07-01,-0.3,-0.19999999999999998,3076.4500581665,1867.27502441406,8618.0,2.9278536749682615,5.023172096309025,8.987126765491205
1995-08-01,-0.5,-0.2,3040.13619641418,1890.04541015625,8931.818359375,-1.1874037872068754,1.2120693407323024,3.5766958636488155
1995-09-01,-0.8,-0.30000000000000004,2910.42504276428,1761.72497558594,8397.25,-4.360318254374551,-7.030742648999588,-6.1715726534091075
1995-10-01,-1.0,-0.19999999999999996,2810.06817431793,1671.95458984375,8068.86376953125,-3.509038894840266,-5.230007372128842,-3.989159576326884
1995-11-01,-1.0,0.0,2981.61903664856,1655.92858886719,8498.095703125,5.9257709497138045,-0.9631422740813633,5.182942793745227
1995-12-01,-1.0,0.0,2918.21064537659,1657.81579589844,8074.21044921875,-2.149581810483081,0.1139017990620772,-5.116701632853982
1996-01-01,-0.9,0.09999999999999998,2604.99992943115,1584.47619628906,7870.71435546875,-11.353798765120704,-4.524707317637322,-2.552625939472719
1996-02-01,-0.7,0.20000000000000007,2544.66672335968,1594.57141113281,8198.5,-2.3432960181480667,0.6351115191920442,4.080238296082506
1996-03-01,-0.5,0.19999999999999996,2563.34994940033,1614.85717773438,8046.39990234375,0.7315289105146228,1.2641525549949684,-1.8726436408861957
1996-04-01,-0.4,0.09999999999999998,2594.17496803894,1587.40002441406,8047.0,1.1953557636181777,-1.7149044870094166,0.007457686507272854
1996-05-01,-0.2,0.2,2658.76193080902,1593.85717773438,8042.85693359375,2.4592040222112033,0.4059503383472496,-0.0514991092204653
1996-06-01,-0.2,0.0,2177.59998270721,1485.75,7713.15771484375,-19.96372299236695,-7.023728117338113,-4.185669540421522
1996-07-01,-0.2,0.0,1983.93479971771,1460.02172851563,7202.60888671875,-9.314119969667978,-1.7468377110180455,-6.8484358899194575
1996-08-01,-0.3,-0.09999999999999998,2017.85720584564,1466.78576660156,7037.619140625,1.6954013915559507,0.46221353058095715,-2.3173383049782004
1996-09-01,-0.3,0.0,1935.07143060913,1405.76196289063,7329.8095703125,-4.189191834884998,-4.249397533608246,4.067961334896708
1996-10-01,-0.3,0.0,1960.19567519531,1336.02172851563,7028.69580078125,1.2900061698757348,-5.088313928297694,-4.194836654807155
1996-11-01,-0.4,-0.10000000000000003,2215.42864607391,1451.04760742188,6960.71435546875,12.240160190413985,8.258944459971396,-0.9719063160019914
1996-12-01,-0.4,0.0,2264.59527826385,1500.97619628906,6571.0478515625,2.1950153428914376,3.3829910516411488,-5.760879623582049
1997-01-01,-0.4,0.0,2427.27279402924,1575.13635253906,7069.13623046875,6.937226223482451,4.8226147613711134,7.306498841274767
1997-02-01,-0.3,0.10000000000000003,2406.63156159363,1582.05297851563,7736.5791015625,-0.8540242575720391,0.4381515529523483,9.022131482250018
1997-03-01,0.0,0.3,2420.1842087265,1631.18420410156,7893.21044921875,0.5615579045342933,3.058289952445481,2.0043339778768043
1997-04-01,0.3,0.3,2389.31814949341,1561.11364746094,7313.13623046875,-1.283562443952846,-4.390681347472647,-7.633073848841931
1997-05-01,0.7,0.39999999999999997,2513.29993523407,1625.44995117188,7476.0,5.058857275444684,4.0385227332459195,2.2025674944064377
1997-06-01,1.1,0.40000000000000013,2611.28570015411,1567.1904296875,7060.0,3.824610057235489,-3.6500189484454992,-5.725283808816606
1997-07-01,1.5,0.3999999999999999,2449.19570404663,1591.5869140625,6832.7392578125,-6.408301887038448,1.544709666275601,-3.2719395689310815
1997-08-01,1.8,0.30000000000000004,2250.10004305115,1710.02502441406,6764.4501953125,-8.478500779088538,7.177642690670716,-1.004466943781246
1997-09-01,2.0,0.19999999999999996,2104.30955452118,1611.61901855469,6498.28564453125,-6.698726807918121,-5.926872926318794,-4.014259125898256
1997-10-01,2.2,0.20000000000000018,2050.6955684021,1607.32604980469,6373.47802734375,-2.5808373466873036,-0.2667315660286995,-1.9393073386501314
1997-11-01,2.3,0.09999999999999964,1918.49994499359,1598.32495117188,6137.25,-6.66354352267895,-0.5615784304478844,-3.776856263907824
1997-12-01,2.4,0.10000000000000009,1761.45239143524,1530.52380371094,5942.380859375,-8.54049108856536,-4.334614315906027,-3.22668879484187
