Series,N,ADF_stat,ADF_p,lags_used
ONI,415,-4.6222781881665185,0.00011749227987799791,11
dONI,414,-8.582816428399877,7.64681581588188e-14,8
Copper,415,-1.0120703151201864,0.7488365127113918,1
Aluminum,415,-2.2885717962541103,0.17568028990901507,1
Nickel,415,-2.121272005444776,0.2360474898032075,1
Copper return,414,-13.71522242307499,1.2164755339964952e-25,0
Aluminum return,414,-15.244942356438127,5.101901775408933e-28,0
Nickel return,414,-14.703124643993679,2.9254426465339317e-27,0
