Metal,Relation,lag_months,N,pearson_r,p_raw,spearman_rho,spearman_p,p_BH
Copper,ONI_return,-24,390,-0.0070937236299917225,0.8889429299363931,-0.04648929017078703,0.3598567288347546,0.8889429299363931
Copper,ONI_return,-23,391,-0.04363135477643747,0.3895676168985291,-0.07579666948651838,0.13461808891758312,0.5302448118896645
Copper,ONI_return,-22,392,-0.07696700887511053,0.12819461643303978,-0.0908347805837043,0.07242950466990936,0.31407681026094747
Copper,ONI_return,-21,393,-0.10968810078151012,0.02969616911672345,-0.1095614224134758,0.02988635383304824,0.13228293515631354
Copper,ONI_return,-20,394,-0.15134655000555366,0.0025956115335702672,-0.13502974927558936,0.007273598881428804,0.02119749419082385
Copper,ONI_return,-19,395,-0.1735188264742188,0.0005322030826264429,-0.14857856696293772,0.003076108306137742,0.0065194877621739256
Copper,ONI_return,-18,396,-0.18615426400465346,0.00019506303960686468,-0.14622022642790253,0.0035428151273778456,0.005832710740709993
Copper,ONI_return,-17,397,-0.183442108159254,0.00023806982615142826,-0.1346896637681479,0.007199628731353592,0.005832710740709993
Copper,ONI_return,-16,398,-0.17387255065191937,0.0004932178804080319,-0.1192096169925732,0.017348652038946474,0.0065194877621739256
Copper,ONI_return,-15,399,-0.1672492804947107,0.000796597545053369,-0.1029251333507201,0.03988498451794574,0.007806655941523016
Copper,ONI_return,-14,400,-0.13732284335659675,0.005943079335294124,-0.07634881345572374,0.1274029868435095,0.041601555347058866
Copper,ONI_return,-13,401,-0.10508732265197336,0.03541068091890074,-0.052133280727830064,0.2976818187832633,0.13504320188247698
Copper,ONI_return,-12,402,-0.06853881609565107,0.1702088256192982,-0.029171860400246528,0.5597608214126871,0.33624453539302435
Copper,ONI_return,-11,403,-0.04062943789205997,0.4159700120516661,-0.010856915796182446,0.8279897730595015,0.5508792051495038
Copper,ONI_return,-10,404,-0.013729177536159098,0.7832309706660826,0.00660807107810067,0.8946596183239797,0.8722344900599557
Copper,ONI_return,-9,405,0.010151950478588119,0.8386052557397145,0.020356117610375687,0.6829542611525087,0.8889429299363931
Copper,ONI_return,-8,406,0.0189998820053767,0.7026904924481349,0.020855433881533596,0.6752341928749986,0.8007403286036886
Copper,ONI_return,-7,407,0.02784648681179359,0.5753685642856418,0.022882923581269827,0.645310910883187,0.7048264912499111
Copper,ONI_return,-6,408,0.023111320705411508,0.6416051364501747,0.01778562410172317,0.7202100155623661,0.7485393258585372
Copper,ONI_return,-5,409,0.00829776504002348,0.8671330618897863,0.0032837723413231016,0.9472129338273283,0.8889429299363931
Copper,ONI_return,-4,410,-0.011836336332492533,0.8111488560436745,-0.017707782996215796,0.7207260464168009,0.88325097658089
Copper,ONI_return,-3,411,-0.023956635111231774,0.6281968072825335,-0.037496189953565004,0.44838107965269125,0.7485393258585372
Copper,ONI_return,-2,412,-0.035132461602355544,0.4769825748499666,-0.0501558107285049,0.3098208537187673,0.6150564780960096
Copper,ONI_return,-1,413,-0.05735130450256385,0.24485339673472645,-0.06721911815559534,0.17273881168595703,0.36672606131922364
Copper,ONI_return,0,414,-0.07746073984155637,0.11555849589245326,-0.08151290926129333,0.09766414877959688,0.29801927888053736
Copper,ONI_return,1,414,-0.08929382195653097,0.06952479057452779,-0.09218902412871573,0.06091797751790962,0.22711431587679076
Copper,ONI_return,2,413,-0.08739041626394731,0.07606386653434544,-0.09636751964697911,0.050342691480679,0.2329455912614329
Copper,ONI_return,3,412,-0.06576688096392813,0.18275871643775027,-0.07827024072670867,0.11266676116557534,0.33624453539302435
Copper,ONI_return,4,411,-0.031201620516272593,0.5281832479667734,-0.04355202854741441,0.37849917706839187,0.6636148500095358
Copper,ONI_return,5,410,0.007881435984657511,0.8735883886259014,0.00011066582931495023,0.9982175505815262,0.8889429299363931
Copper,ONI_return,6,409,0.04793744547850212,0.33351214917263905,0.03791974058549454,0.4443862827518671,0.4669170088416947
Copper,ONI_return,7,408,0.07909162506637549,0.11067404680641207,0.06149774308003735,0.21513968923467355,0.29801927888053736
Copper,ONI_return,8,407,0.10407486308838138,0.03582778825453471,0.07906275098327713,0.11124564139604427,0.13504320188247698
Copper,ONI_return,9,406,0.11889694090795051,0.016537676219651878,0.0824742954006083,0.09701195178521559,0.08204567599262313
Copper,ONI_return,10,405,0.11881925658855726,0.016744015508698598,0.08395396265453665,0.09154592362197872,0.08204567599262313
Copper,ONI_return,11,404,0.11898880855390322,0.016723026969007296,0.08974333851989014,0.07156633225038393,0.08204567599262313
Copper,ONI_return,12,403,0.09940935933839924,0.046111339245164154,0.07974237553505302,0.10995602198838796,0.16138968735807455
Copper,ONI_return,13,402,0.0812783342990083,0.10368523408692651,0.0770236958084784,0.12312156698980846,0.29801927888053736
Copper,ONI_return,14,401,0.06508206195909001,0.19340291380152622,0.07325111194376709,0.14312811399965245,0.33624453539302435
Copper,ONI_return,15,400,0.056406649373569526,0.2603777407989151,0.07963860255527841,0.11176399037983488,0.3752502735043189
Copper,ONI_return,16,399,0.058558747571288684,0.24319342342659866,0.08881582500384236,0.07638922681275502,0.36672606131922364
Copper,ONI_return,17,398,0.0645170091265047,0.19900186788566748,0.09385994978684213,0.061380808245135796,0.33624453539302435
Copper,ONI_return,18,397,0.06468502395318254,0.19840003980981136,0.0864159386762232,0.08550258596279003,0.33624453539302435
Copper,ONI_return,19,396,0.06548892142218048,0.19343313487864633,0.08237714061919296,0.1016544093105963,0.33624453539302435
Copper,ONI_return,20,395,0.058386491466056685,0.24697877599049753,0.07887463688332275,0.11756567459220461,0.36672606131922364
Copper,ONI_return,21,394,0.060673632987286834,0.22951153666036198,0.09025673675187795,0.07353322562715373,0.36672606131922364
Copper,ONI_return,22,393,0.06732846248515198,0.18286181701323875,0.10052918068788445,0.04641352111619555,0.33624453539302435
Copper,ONI_return,23,392,0.06846235697073898,0.1761372883806378,0.10402700561502672,0.039528679738853253,0.33624453539302435
Copper,ONI_return,24,391,0.06739086558278667,0.18357960540529195,0.10005667376971128,0.04802781726961856,0.33624453539302435
Copper,dONI_return,-24,390,0.1321864972523248,0.008960093956711065,0.08012503107278815,0.11415167338525976,0.04878273376431579
Copper,dONI_return,-23,391,0.1471824366865967,0.003534974788023806,0.07550552209520514,0.13612616244306425,0.028868960768861085
Copper,dONI_return,-22,392,0.1442038751414984,0.004223856517277128,0.08041317356981893,0.11192716423307705,0.029167244188360208
Copper,dONI_return,-21,393,0.15176957418183976,0.0025560667744928068,0.08119058412032477,0.10803949751384231,0.025049454390029504
Copper,dONI_return,-20,394,0.08293845684341886,0.10020016081507423,0.021616152931695932,0.6688294145590925,0.27276710444103536
Copper,dONI_return,-19,395,0.05343688048141042,0.2894047653378946,-0.04014380226188468,0.42624447721111025,0.5064583393413156
Copper,dONI_return,-18,396,0.0025300669551802817,0.9599720801574725,-0.06764024492977753,0.1791723474897048,0.9799714984940865
Copper,dONI_return,-17,397,-0.02381110079160792,0.6362103848288018,-0.06875126790727784,0.17157578371830942,0.8464016438311847
Copper,dONI_return,-16,398,-0.04906460787127628,0.32889337777057376,-0.07391685461415202,0.14101741821288255,0.5283459173048991
Copper,dONI_return,-15,399,-0.10894651255158014,0.02956590223684602,-0.11517717007857234,0.021385583083236636,0.12072743413378792
Copper,dONI_return,-14,400,-0.12144732359249696,0.015084356936873919,-0.0941409631352246,0.05995743166490423,0.0739133489906822
Copper,dONI_return,-13,401,-0.1534038685340222,0.002066020642145759,-0.09753431232219906,0.05097602840548732,0.025049454390029504
Copper,dONI_return,-12,402,-0.11927483138964017,0.016731614733913325,-0.0704815239854737,0.15839080733098973,0.07453173836015936
Copper,dONI_return,-11,403,-0.09915449168292395,0.04667536850886478,-0.04496850286499839,0.36791386539283905,0.16336378978102672
Copper,dONI_return,-10,404,-0.07235011668559589,0.14660828903197126,-0.032158568656743075,0.5192232743738504,0.3420860077412663
Copper,dONI_return,-9,405,-0.03513041150751537,0.480798798018508,0.02858918119846996,0.5661808707963297,0.7139133667547544
Copper,dONI_return,-8,406,-0.005794740047213687,0.907334141840055,0.03648620458969998,0.46346444099307144,0.9665081076122325
Copper,dONI_return,-7,407,0.05308343267756113,0.28535019351780383,0.07306328352981724,0.14117485253026874,0.5064583393413156
Copper,dONI_return,-6,408,0.05760895349307852,0.2456263887921681,0.09266540840225056,0.061479341945361976,0.4629112711852399
Copper,dONI_return,-5,409,0.06801380165154185,0.16979139123061185,0.1078940563251232,0.02913046324988585,0.3617294856652165
Copper,dONI_return,-4,410,0.05795000841737483,0.24167922353775967,0.087449764299546,0.0769428789813249,0.4629112711852399
Copper,dONI_return,-3,411,0.061136700266819693,0.21615579759003722,0.052003681667617055,0.2929011727843667,0.441318086746326
Copper,dONI_return,-2,412,0.090341416601208,0.06696532166786379,0.06063544187661957,0.2193884021047681,0.20508129760783286
Copper,dONI_return,-1,413,0.08118692613278937,0.09942791024616413,0.028107343035294583,0.5689558115131104,0.27276710444103536
Copper,dONI_return,0,414,0.04767319200392938,0.3332324951682066,-0.003914328148862978,0.9367110553133098,0.5283459173048991
Copper,dONI_return,1,413,-0.015803213742452592,0.7488122790080161,-0.0527810629656043,0.28455944775816294,0.9276994951515003
Copper,dONI_return,2,412,-0.09112218232427098,0.06463060522918608,-0.1060924445926918,0.03132038350204835,0.20508129760783286
