Metal,Signal,Horizon_m,N,Pearson_r,p_raw,Spearman_rho,Spearman_p,slope_pct_per_ONI,HAC_t,HAC_p
Copper,ONI,1,414,-0.08929382195653097,0.06952479057452779,-0.09218902412871573,0.06091797751790962,-0.6506800130506927,-1.6601389942325968,0.09688649390893377
Copper,dONI,1,413,-0.015803213742452592,0.7488122790080161,-0.0527810629656043,0.28455944775816294,-0.4715556563580457,-0.2794444063998006,0.7799037964257275
Copper,ONI,3,412,-0.11150341714514178,0.023607448116588388,-0.10566353685061379,0.03201485119543755,-1.7745242534520398,-1.6816259054625795,0.09264140397672996
Copper,dONI,3,411,-0.11293587832832579,0.02202585654124433,-0.13132503147759353,0.00768017044645422,-7.418734770583044,-1.6273243739094079,0.10366822390020752
Copper,ONI,6,409,-0.06669173299901664,0.17826124690113337,-0.05304376497404561,0.2845229252215534,-1.602564170259148,-0.8553296055070188,0.3923687022063963
Copper,dONI,6,408,-0.22892473516912593,2.9820360573611382e-06,-0.22612381378059102,3.962244422855513e-06,-22.89360447299768,-2.3096644516874303,0.020906738331378728
Copper,ONI,12,403,0.09832456303720125,0.048552258818286065,0.10648099040153687,0.03259553754792309,3.2574932035898305,0.7786915787826868,0.43616141797133245
Copper,dONI,12,402,-0.15401395256897019,0.0019558776875479213,-0.1312118309918773,0.008438700658392384,-21.270897630525454,-1.7738609649286605,0.07608615090802616
Copper,ONI,18,397,0.1551713633760599,0.0019298499814032152,0.20235035649062202,4.8825787190792505e-05,6.159387291334824,1.3557620338334613,0.17517489472707792
Copper,dONI,18,396,-0.11071372913022372,0.027595642074767487,-0.12619117715321693,0.011961129331789482,-18.38308285278447,-1.3270145061741445,0.1845038841389196
Copper,ONI,24,391,0.2052583427264701,4.325848499844228e-05,0.26409718365715756,1.1589752943093944e-07,9.174904558230283,2.1403587349699245,0.03232578666499432
Copper,dONI,24,390,-0.08910042300419294,0.07884263521406808,-0.0941575822647191,0.0632225022675436,-16.664674042780966,-1.4376872505324638,0.1505228121781325
Aluminum,ONI,1,414,-0.051980109401331576,0.29135471126021073,-0.0769677715198812,0.11790032604312446,-0.3028165059519176,-0.9690127203392715,0.33253884254630506
Aluminum,dONI,1,413,0.02457541098444325,0.6184890600630678,0.003252913719455812,0.9474520014381702,0.5847842201854885,0.3937278191816181,0.6937820002378885
