date,open,close,volume
2026-04-01,7.83792,7.83725,75222.0
2026-04-02,7.83709,7.836899999999999,78270.0
2026-04-03,7.83608,7.8376,53881.0
2026-04-05,7.835699999999999,7.8372,713.0
2026-04-06,7.83601,7.836899999999999,36931.0
2026-04-07,7.836729999999999,7.83385,59368.0
2026-04-08,7.83372,7.832249999999999,83001.0
2026-04-09,7.832249999999999,7.83382,67835.0
2026-04-10,7.83402,7.8313,56632.0
2026-04-12,7.83125,7.833,1664.0
2026-04-13,7.83226,7.8298,81895.0
2026-04-14,7.82932,7.833699999999999,65414.0
2026-04-15,7.83365,7.8328,61995.0
2026-04-16,7.8324300000000004,7.82256,75476.0
2026-04-17,7.82252,7.8318,72749.0
2026-04-19,7.8309,7.8317,1291.0
2026-04-20,7.831219999999999,7.82993,63900.0
2026-04-21,7.82991,7.830369999999999,61070.0
2026-04-22,7.830259999999999,7.832019999999999,58450.0
2026-04-23,7.8319399999999995,7.832339999999999,57937.0
2026-04-24,7.832339999999999,7.835500000000001,58025.0
2026-04-26,7.83523,7.834899999999999,1178.0
2026-04-27,7.834569999999999,7.8367,58699.0
2026-04-28,7.83657,7.8356,59905.0
2026-04-29,7.835190000000001,7.836739999999999,60481.0
2026-04-30,7.8367,7.833,70827.0
2026-05-01,7.83267,7.834700000000001,58551.0
2026-05-03,7.83433,7.834860000000001,1110.0
2026-05-04,7.834899999999999,7.8332999999999995,69791.0
2026-05-05,7.8334,7.8359000000000005,58279.0
2026-05-06,7.83563,7.83403,77561.0
2026-05-07,7.83382,7.83261,77863.0
2026-05-08,7.83255,7.829,65316.0
2026-05-10,7.82711,7.82869,951.0
2026-05-11,7.828729999999999,7.8287,58619.0
2026-05-12,7.8282,7.82818,66803.0
2026-05-13,7.8287,7.82912,64250.0
2026-05-14,7.829299999999999,7.8326,53187.0
2026-05-15,7.83217,7.8308,65943.0
2026-05-17,7.82973,7.8306,875.0
2026-05-18,7.830140000000001,7.8306,60312.0
2026-05-19,7.83029,7.8328,60568.0
2026-05-20,7.832700000000001,7.8313,62768.0
2026-05-21,7.831219999999999,7.833900000000001,50191.0
2026-05-22,7.83391,7.8356,57510.0
2026-05-24,7.83484,7.835100000000001,769.0
2026-05-25,7.834899999999999,7.834700000000001,52140.0
2026-05-26,7.83427,7.83578,48689.0
2026-05-27,7.8358099999999995,7.83364,59159.0
2026-05-28,7.83368,7.83344,65030.0
2026-05-29,7.8332999999999995,7.836099999999999,62382.0
2026-05-31,7.83647,7.8358099999999995,545.0
2026-06-01,7.83576,7.8372,61808.0
2026-06-02,7.83676,7.837,55777.0
2026-06-03,7.8364,7.83573,61501.0
2026-06-04,7.83573,7.834300000000001,61291.0
2026-06-05,7.834009999999999,7.8346,57403.0
2026-06-07,7.833379999999999,7.83408,618.0
2026-06-08,7.834499999999999,7.83612,54893.0
2026-06-09,7.83612,7.8375,54630.0
2026-06-10,7.83708,7.83576,53917.0
2026-06-11,7.83574,7.835699999999999,57675.0
2026-06-12,7.835699999999999,7.834099999999999,55588.0
2026-06-14,7.83472,7.834899999999999,743.0
2026-06-15,7.834700000000001,7.83437,52712.0
2026-06-16,7.833779999999999,7.833,64160.0
2026-06-17,7.83261,7.83495,64650.0
2026-06-18,7.83504,7.8372,60708.0
2026-06-19,7.83681,7.8371,44924.0
2026-06-21,7.83615,7.8367,563.0
2026-06-22,7.83648,7.8393,62823.0
2026-06-23,7.8393500000000005,7.840700000000001,58596.0
2026-06-24,7.84045,7.8394,65559.0
2026-06-25,7.83892,7.83955,66881.0
2026-06-26,7.84004,7.842099999999999,54217.0
2026-06-28,7.84101,7.84181,577.0
2026-06-29,7.84185,7.8404,61561.0
2026-06-30,7.840300000000001,7.842899999999999,53550.0
2026-07-01,7.84221,7.8438,46709.0
2026-07-02,7.843420000000001,7.84264,64301.0
2026-07-03,7.842620000000001,7.84168,51420.0
2026-07-05,7.84168,7.842969999999999,938.0
2026-07-06,7.84282,7.842499999999999,65306.0
2026-07-07,7.842300000000001,7.8418,57116.0
2026-07-08,7.8416,7.83885,74419.0
2026-07-09,7.8388,7.8358,67377.0
2026-07-10,7.8358,7.8397,65211.0
2026-07-12,7.837699999999999,7.8398,929.0
2026-07-13,7.839459999999999,7.83732,64043.0
2026-07-14,7.83728,7.83752,67808.0
2026-07-15,7.8374,7.838259999999999,62914.0
2026-07-16,7.8386,7.8398200000000005,63091.0
2026-07-17,7.83997,7.8402,54045.0
2026-07-19,7.84039,7.84,787.0
2026-07-20,7.83972,7.841,52354.0
2026-07-21,7.84075,7.8413699999999995,53500.0
2026-07-22,7.8413699999999995,7.8401,57454.0
2026-07-23,7.8401,7.841100000000001,55102.0
2026-07-24,7.840809999999999,7.842499999999999,47210.0
2026-07-26,7.84119,7.842099999999999,384.0
2026-07-27,7.8418,7.841660000000001,44500.0
2026-07-28,7.84151,7.841,54669.0
2026-07-29,7.84073,7.842009999999999,57586.0
2026-07-30,7.842,7.843100000000001,53093.0
2026-07-31,7.8428,7.841660000000001,59051.0
2026-08-02,7.84108,7.842099999999999,957.0
2026-08-03,7.84181,7.841900000000001,58046.0
2026-08-04,7.8416999999999994,7.842499999999999,59331.0
2026-08-05,7.8422,7.843299999999999,55215.0
2026-08-06,7.84339,7.8443000000000005,53227.0
2026-08-07,7.844380000000001,7.845,51215.0
2026-08-09,7.84391,7.84536,637.0
2026-08-10,7.845260000000001,7.8451,48004.0
2026-08-11,7.84512,7.8467,52082.0
2026-08-12,7.84641,7.8466,48459.0
2026-08-13,7.8463,7.8472,55017.0
2026-08-14,7.84685,7.847,40952.0
2026-08-16,7.84589,7.8469,784.0
2026-08-17,7.84656,7.8443000000000005,59485.0
2026-08-18,7.84412,7.844,56658.0
2026-08-19,7.843710000000001,7.84,69303.0
2026-08-20,7.84006,7.84334,57128.0
2026-08-21,7.843459999999999,7.8397,61999.0
2026-08-23,7.839510000000001,7.839500000000001,776.0
2026-08-24,7.83928,7.836,65142.0
2026-08-25,7.836099999999999,7.8383,60439.0
2026-08-26,7.83779,7.8388,61962.0
2026-08-27,7.8388,7.838659999999999,59591.0
2026-08-28,7.8388,7.8398,55968.0
2026-08-30,7.8400099999999995,7.83977,606.0
2026-08-31,7.83977,7.8387,67972.0
2026-09-01,7.8386499999999995,7.84077,54066.0
2026-09-02,7.84066,7.84159,54097.0
2026-09-03,7.84159,7.839859999999999,59186.0
2026-09-04,7.8398,7.8408999999999995,49760.0
2026-09-06,7.83993,7.840300000000001,1353.0
2026-09-07,7.840380000000001,7.8398,54742.0
2026-09-08,7.8396,7.84105,52909.0
2026-09-09,7.841,7.842,46922.0
2026-09-10,7.8418,7.84117,48331.0
2026-09-11,7.8412,7.8428,43308.0
