scenario,oni,temperature,metals,ticker,start_price,mean_return,median_return,p05_return,p25_return,p75_return,p95_return,prob_positive,prob_gain20,prob_loss20,cvar05_return,median_end_price,p05_end_price,p95_end_price
ONI Central | Temp Low | Metals Base,Central,Low,Base,AAON,79.795,-0.015265846709271705,-0.016319922566438494,-0.336038913751164,-0.14012978771463747,0.1118355255673465,0.29085132181405093,0.4685,0.1204,0.1603,-0.4253506340857266,78.49275177881104,52.98077487722587,103.0034812241522
ONI Central | Temp Low | Metals Base,Central,Low,Base,VRT,257.06,0.18306786462728647,0.1651267212013734,-0.30024439598205827,-0.015506198488539208,0.36912219605146757,0.7211289702446679,0.7335,0.453,0.0965,-0.39491180184842223,299.50747495202506,179.8791755688521,442.43341309109434
ONI Central | Temp Low | Metals Base,Central,Low,Base,NVT,162.38,0.01288774770766604,0.009367104333423693,-0.21925485021597188,-0.08307075706830028,0.10015028145816746,0.2696906589213033,0.5269,0.1013,0.0658,-0.2652264160910023,163.90103040166133,126.77739742193047,206.17236919564124
ONI Central | Temp Low | Metals Base,Central,Low,Base,JCI,146.01,-0.03477163700982706,-0.02858450457107542,-0.23590198341322285,-0.10846664344467105,0.04306818373677862,0.1446886737023357,0.3952,0.0157,0.0825,-0.2931024615482751,141.83637648757727,111.56595140183533,167.13599324727804
ONI Central | Temp Low | Metals Base,Central,Low,Base,TT,442.52,0.008446489577726826,0.011562624213516504,-0.19238922633843017,-0.07229921629871996,0.09089791926653856,0.20383594890042675,0.5354,0.0546,0.0442,-0.2573015690794648,447.6366924669653,357.3839195607179,532.7214841074168
ONI Central | Temp Low | Metals Base,Central,Low,Base,SPXC,191.82,-0.06385444125928093,-0.0664214563747842,-0.2588688104198269,-0.14468131887327174,0.015588210639254307,0.13710557802040804,0.2919,0.0182,0.1183,-0.3226906170984261,179.0790362381889,142.1637847852688,218.11959197587467
ONI Central | Temp Low | Metals Base,Central,Low,Base,Basket,100.0,0.029910112973705157,0.035435436089519046,-0.21403678489201045,-0.059496221172017444,0.12715891603281476,0.249956526931565,0.6012,0.1051,0.0592,-0.285231914723233,103.5435436089519,78.59632151079896,124.9956526931565
ONI Central | Temp Low | Metals Up,Central,Low,Up,MOD,189.3,0.1331308122773784,0.10137943716206133,-0.3442014036682917,-0.09486598948206676,0.3293832306426444,0.7096119160797895,0.6344,0.3826,0.1416,-0.4462789393085552,208.49112745477822,124.14267428559239,323.62953571390415
ONI Central | Temp Low | Metals Up,Central,Low,Up,AAON,79.795,-0.04708677071897412,-0.048106784928498014,-0.35749430371638447,-0.16791582985799436,0.07590741882692681,0.24913845780704652,0.4022,0.0811,0.2001,-0.4439199847514622,75.9563190966305,51.2687420349511,99.67500324071327
ONI Central | Temp Low | Metals Up,Central,Low,Up,VRT,257.06,0.16477646093751427,0.14711270540021804,-0.3110633123096562,-0.0307274500261234,0.34795420769055097,0.6945186076964256,0.7134,0.4232,0.1039,-0.40426706609929786,294.87679205018003,177.09806493767977,435.5929532944432
ONI Central | Temp Low | Metals Up,Central,Low,Up,NVT,162.38,0.029013243512841347,0.025436550373863165,-0.20682513856604196,-0.06847295124628222,0.11766502461590217,0.28990453892986573,0.57,0.1203,0.0555,-0.25352858642340736,166.5103870497079,128.7957339996461,209.45469903143157
ONI Central | Temp Low | Metals Up,Central,Low,Up,JCI,146.01,-0.0291539475434855,-0.022930805606815208,-0.23145488514754983,-0.10327786352683113,0.04913890583025465,0.15135083340574215,0.4166,0.0183,0.0775,-0.2889882736443465,142.6618730733489,112.21527221960625,168.1087351855724
ONI Central | Temp Low | Metals Up,Central,Low,Up,TT,442.52,0.0068912666453395145,0.010002595588317398,-0.19363472107575377,-0.07372991346323696,0.08921554000450416,0.20197939697237535,0.5301,0.0521,0.0448,-0.25844695621061475,446.94634859974224,356.83276322955743,531.8999227482155
ONI Central | Temp Low | Metals Up,Central,Low,Up,SPXC,191.82,-0.07539922589384139,-0.07793458392740321,-0.2680086283570806,-0.15522932593833474,0.0030637190580511398,0.12308250342219933,0.2589,0.0145,0.1382,-0.3310433683170338,176.8705881110455,140.4105849085448,215.42968580644626
ONI Central | Temp Low | Metals Up,Central,Low,Up,Basket,100.0,0.026024548459538936,0.031301619794743996,-0.21662914078465736,-0.06283919367776514,0.12259625606524693,0.24560983529135902,0.5901,0.0982,0.061,-0.2877344246359804,103.1301619794744,78.33708592153427,124.5609835291359
