ticker,month,p05,p25,median,p75,p95,start_price
MOD,Oct 2026,145.4165412818153,175.70732338961136,195.48329416052047,216.30700741281373,256.94019113220196,189.3
MOD,Nov 2026,131.6314191997788,171.88318744678693,199.7827476013622,233.95019983194112,295.6372549427903,189.3
MOD,Dec 2026,123.31267347106176,170.19630006968623,207.0971845048158,249.96973332224778,321.4657932313573,189.3
AAON,Oct 2026,62.13957844119849,73.75723685623696,79.5795705250882,85.22040141223154,93.45443459070229,79.795
AAON,Nov 2026,54.58483537166354,70.71431036361741,79.21798099052904,87.70017307731881,99.3893947331532,79.795
AAON,Dec 2026,53.85897802864483,69.75067037830442,79.79383848687519,90.18951017342619,104.71085492768513,79.795
VRT,Oct 2026,205.16157676376136,241.4323831431518,266.28845795974775,291.2079672864308,332.112823579981,257.06
VRT,Nov 2026,184.69437079853202,242.83566352436515,280.07863907989315,321.61000899769044,392.0922246435388,257.06
VRT,Dec 2026,184.1039764333194,259.01789509293843,306.5419714972207,360.2126786393426,452.8247941955791,257.06
NVT,Oct 2026,144.3978128699478,153.17805001296784,162.86970503459986,171.96479735509934,184.96584583959728,162.38
NVT,Nov 2026,133.64098727156048,149.73179992142445,163.9467974554319,175.8473441229613,195.03316662645935,162.38
NVT,Dec 2026,125.48825435203499,147.37696429066682,162.23439358951865,176.82586742072596,204.07589390621774,162.38
JCI,Oct 2026,127.10339536951831,137.63801341586176,144.6536020497706,150.86531715348463,161.00064232644112,146.01
JCI,Nov 2026,118.90442119106505,133.92123574856433,143.09429096681836,151.71264582337943,165.56218008087234,146.01
JCI,Dec 2026,111.9167998189626,130.58214788102256,142.28241820152726,152.77732775470486,167.6615962465712,146.01
TT,Oct 2026,391.8502621150223,421.49477421865265,442.08802654514693,463.36710734553276,499.4211641247881,442.52
TT,Nov 2026,372.37074177247024,414.7557265321877,444.2744087071695,472.71532989973196,520.3033515584093,442.52
TT,Dec 2026,362.5501443393621,416.46058225516094,454.1075817428334,489.72253836639646,540.4223312375694,442.52
SPXC,Oct 2026,162.09678544562044,176.30887611521177,186.11425777035225,196.89525611160914,214.8424606326845,191.82
SPXC,Nov 2026,149.9425754613256,168.98062117864788,181.6953449220232,195.11133827105488,219.27785932020618,191.82
SPXC,Dec 2026,144.60607198383084,166.8858044446761,182.1555049633004,198.15684990510462,221.86675366014532,191.82
Basket,Oct 2026,87.5009115361742,95.79502547624926,100.74154547358376,105.66883113966793,113.37635830200092,100.0
Basket,Nov 2026,82.28716511261497,94.29151352928234,102.14914025183413,109.04527465187755,120.47417918317859,100.0
Basket,Dec 2026,79.3312782519632,95.00031337369194,104.61537690621319,113.8830138012427,126.33757669048312,100.0
