ticker,last_date,last_close,ytd_2026,apr_to_signal,jul_to_signal,drawdown_from_2026_high
AAON,2026-09-11,79.795,0.007639853516858253,-0.046084877465630614,-0.31459371242054635,-0.4617537942664418
EME,2026-09-11,780.66,0.2223596649181867,0.027792772036073998,-0.029428219760546104,-0.17281059602649007
FIX,2026-09-11,1690.82,0.6846877366386352,0.18361661019796705,-0.0934670133769403,-0.1817992654281858
JCI,2026-09-11,146.01,0.19376992886926647,0.08380344418052244,0.00835635359116016,-0.05653915740501425
MOD,2026-09-11,189.3,0.34436474682195883,-0.15100686190967394,-0.22573520389381974,-0.38316660692756355
NVT,2026-09-11,162.38,0.5201273169818386,0.33910605310902175,0.014938433652103233,-0.1191276988174027
SPXC,2026-09-11,191.82,-0.056282593722326024,-0.05581807442409925,-0.17219057483169342,-0.2215413335497748
TT,2026-09-11,442.52,0.11185929648241211,0.03358714439202126,-0.0867968137356061,-0.12104238668414569
VRT,2026-09-11,257.06,0.4638118558168669,-0.0089061957820874,-0.17455526298888968,-0.3167477340988225
XLI,2026-09-11,172.37,0.09108747942777584,0.04828802529951948,-0.05993673647469466,-0.0758136292960162
XLK,2026-09-11,187.67,0.3005544005544003,0.3910755318360388,0.011044068527098272,-0.05317592452449438
