case,tax_rate,after_tax_return,tax_paid
Best COP/XLE strategy,0.0,0.04893964716142429,0.0
Best COP/XLE strategy,0.24,0.0371941318426825,1174.5515318741836
Best COP/XLE strategy,0.37,0.030831977711697434,1810.7669449726998
XLE buy and hold,0.0,1.816482621816461,0.0
XLE buy and hold,0.15,1.5440102285439918,27247.239327246913
XLE buy and hold,0.2,1.4531860974531687,36329.65243632922
