strength,horizon_days,n,mean_spread_return,mean_model_gross_return,directional_hit_rate,p
Extreme ≥2.0,1,1,-0.0005134662333359241,0.00025673311666796206,1.0,
Extreme ≥2.0,2,1,-0.012641340959566816,-0.006320670479783408,0.0,
Extreme ≥2.0,5,1,-0.021993240752219645,0.010996620376109822,1.0,
Extreme ≥2.0,10,1,0.0003353290210919013,-0.00016766451054595066,0.0,
Extreme ≥2.0,20,1,0.02151628182679466,-0.01075814091339733,0.0,
Extreme ≥2.0,40,1,0.032073734775224905,-0.016036867387612452,0.0,
Extreme ≥2.0,60,1,-0.024707316455689465,0.012353658227844733,1.0,
Strong 1.0–1.4,1,4,-0.002415274385016347,0.0012076371925081736,0.5,0.6920061466102917
Strong 1.0–1.4,2,4,0.0019898750379172547,-0.0016869073891007391,0.25,0.3781194378560424
Strong 1.0–1.4,5,4,-0.0017541886157979858,-0.0023456245495192957,0.25,0.33420807594990426
Strong 1.0–1.4,10,3,0.007425672936284784,-0.003712836468142392,0.6666666666666666,0.7397047110785179
Strong 1.0–1.4,20,3,0.004991423238210224,-0.002495711619105112,0.6666666666666666,0.8185692802339526
Strong 1.0–1.4,40,3,-0.016401133411609536,0.008200566705804768,0.6666666666666666,0.570887779318561
Strong 1.0–1.4,60,3,-0.007335692166798746,0.003667846083399373,0.6666666666666666,0.8005002050321067
Very strong 1.5–1.9,1,5,0.0004630573358871404,-0.0002315286679435702,0.6,0.8477001429614344
Very strong 1.5–1.9,2,5,-0.004903435963751046,-0.002927320936252931,0.2,0.1264030941730442
Very strong 1.5–1.9,5,5,-0.0029522648578045097,0.0014761324289022549,0.4,0.5022926565792875
Very strong 1.5–1.9,10,5,-0.0129516059161916,0.0064758029580958,0.8,0.15859155278497544
Very strong 1.5–1.9,20,5,-0.01624805366555495,0.008124026832777475,0.6,0.1887908366402533
Very strong 1.5–1.9,40,5,-0.03515686857017275,0.017578434285086375,0.8,0.04547559200534875
Very strong 1.5–1.9,60,5,-0.044752005326444674,0.022376002663222337,0.8,0.09222560521078854
