ticker,company,subsector,benchmark,signal,horizon_months,n,r,slope,hac_t,p,confidence,q_bh_global,q_bh_family,p_over_50pct
CVX,Chevron,Integrated,XLE,dONI,3,272,0.2485211982616696,0.0752803622028302,2.69508905853834,0.0074784884582475,0.9925215115417524,0.0785241288115996,0.0867650200998572,False
OXY,Occidental Petroleum,Exploration & production,XLE,ONI,6,269,-0.2613117915620871,-0.0495845899417477,-2.6085308320507963,0.0096055118292383,0.9903944881707616,0.083856850686094,0.0867650200998572,False
WMB,Williams,Midstream,SPY,dONI,6,269,-0.2580698790933046,-0.2799436797078917,-2.5949693023829736,0.0099829584150112,0.9900170415849888,0.083856850686094,0.0732083617100821,False
XOM,Exxon Mobil,Integrated,XLE,dONI,3,272,0.2429465707759231,0.0839229768387743,2.487364448872295,0.0134734081998254,0.9865265918001744,0.0880740676793484,0.0867650200998572,False
KMI,Kinder Morgan,Midstream,SPY,dONI,3,183,-0.2400502194295326,-0.1543115627304244,-2.252388435270619,0.025498850014534,0.974501149985466,0.1056131553338703,0.0968120590560478,False
EOG,EOG Resources,Exploration & production,SPY,dONI,6,269,-0.1546617262715666,-0.1838535806386287,-1.9459992391759784,0.0527039265318204,0.9472960734681796,0.1670615029687892,0.1325127295657198,False
