family,relationship,n,r,p,p_method,q,ticker,benchmark,signal,horizon_months,abs_r,r_squared,ci_low,ci_high,rank
ONI → energy,ONI → COP minus XLE (6m),164,-0.477944905242279,1.8458817756600427e-05,HAC,0.0031010813831088,COP,XLE,ONI,6,0.477944905242279,0.22843133244705105,-0.5881199394150894,-0.35035441978612514,1
ONI → energy,ONI → PSX minus SPY (12m),159,-0.4421766698243574,0.0005307817119298,HAC,0.0389324078882369,PSX,SPY,ONI,12,0.4421766698243574,0.19552020733695877,-0.5593308536307886,-0.30770433929016267,2
ONI → energy,ONI → MPC minus SPY (6m),175,-0.4046831289361701,0.0009055939920107,HAC,0.0389324078882369,MPC,SPY,ONI,6,0.4046831289361701,0.16376843484556886,-0.5217091501129819,-0.27270886174376,3
Metals → cooling infrastructure,Nickel return lag 3 → VRT (1m target),77,-0.3433997107870097,0.0022312503422015,Pearson raw,,VRT,n.a.,Nickel return lag 3,1,0.3433997107870097,0.1179233613686019,-0.5268588389617455,-0.1293672672856837,4
ONI → energy,dONI → SLB minus SPY (3m),272,-0.2683363763836951,0.002012143221844,HAC,0.044145465602281,SLB,SPY,dONI,3,0.2683363763836951,0.07200441089073209,-0.3752963433413338,-0.15432401081522445,5
ONI → metals,dONI lag 2 → Copper (1m target),409,-0.1757549325858426,0.0003551007958294,Pearson raw,,Copper,n.a.,dONI lag 2,1,0.1757549325858426,0.030889796328254077,-0.2681524605373214,-0.08015342730596665,6
ONI → cooling infrastructure,dONI lag 3 → JCI (1m target),274,-0.1542287686292473,0.0105705604310561,Pearson raw,,JCI,n.a.,dONI lag 3,1,0.1542287686292473,0.023786513072893898,-0.26783578717517637,-0.036391779135229535,7
