month,strategy,strategy_gross,naive_oni_basket,cooling_basket,XLI,active,selected,gross_exposure,xli_hedge,turnover,latest_oni,enso_surprise_z,cooling_pressure,market_on
2021-06,0.0,0.0,0.0,-0.008227206097302478,-0.025875190258751846,False,Cash,0.0,0.0,0.0,-0.7,1.0824175972416183,0.0,True
2021-07,0.0,0.0,0.0,0.03972864408833305,0.009374999999999911,False,Cash,0.0,0.0,0.0,-0.6,0.5862844196052184,0.1300642189777718,True
2021-08,0.0,0.0,0.0,-0.015624349220217588,0.011126160990712064,False,Cash,0.0,0.0,0.0,-0.4,1.1198088310313181,0.18278311854304335,True
2021-09,0.0,0.0,0.0,-0.0997723261234497,-0.06382164386183142,False,Cash,0.0,0.0,0.0,-0.3,0.5869793326611272,0.0,False
2021-10,0.0,0.0,0.0,0.06320353110428845,0.06796811120196233,False,Cash,0.0,0.0,0.0,-0.3,-0.013148219222225869,0.0,False
2021-11,0.0,0.0,0.0,0.00899828845137036,-0.035601492965834036,False,Cash,0.0,0.0,0.0,-0.5,-1.242406368817816,0.0,True
2021-12,0.0,0.0,0.0,0.03621122007999546,0.050014885382554386,False,Cash,0.0,0.0,0.0,-0.6,-0.6760352122485258,0.0,False
2022-01,0.0,0.0,0.0,-0.13053349786301835,-0.04791607598525671,False,Cash,0.0,0.0,0.0,-0.8,-1.2853373892832753,0.0,True
2022-02,0.0,0.0,0.0,-0.08926552756019838,-0.008437562040897295,False,Cash,0.0,0.0,0.0,-0.9,-0.707517536550405,0.0,False
2022-03,0.0,0.0,0.0,-0.011424541806938495,0.03093402743017326,False,Cash,0.0,0.0,0.0,-0.8,0.47779691312226025,0.0,False
2022-04,0.0,0.0,0.0,-0.10074119737018074,-0.07613128762866583,False,Cash,0.0,0.0,0.0,-0.8,-0.06924569130784532,0.0,False
2022-05,0.0,0.0,0.0,0.08844896069525619,-0.004624763506411611,False,Cash,0.0,0.0,0.0,-0.7,0.5730670442022444,0.0,False
2022-06,0.0,0.0,0.0,-0.08360175532228752,-0.07771911298838441,False,Cash,0.0,0.0,0.0,-0.8,-0.5932228819716916,0.07232254916575155,False
2022-07,0.0,0.0,0.0,0.17684121719337412,0.09503091367071215,False,Cash,0.0,0.0,0.0,-0.9,-0.5605181063132627,0.21183201913027516,False
2022-08,0.0,0.0,0.0,0.008223794769495116,-0.028335424508573737,False,Cash,0.0,0.0,0.0,-0.8,0.6910066985503175,0.4160662244517511,False
2022-09,0.0,0.0,0.0,-0.08285391380547502,-0.10857634778865821,False,Cash,0.0,0.0,0.0,-0.7,0.7126563181326975,0.0,False
2022-10,0.0,0.0,0.0,0.23978372912083148,0.13894253983582794,False,Cash,0.0,0.0,0.0,-0.7,0.10189412311393965,0.0,False
2022-11,0.0,0.0,0.0,0.108129245218197,0.07811340752517237,False,Cash,0.0,0.0,0.0,-0.8,-0.5289911886004445,0.0,False
2022-12,0.0,0.0,0.0,-0.039586545663980406,-0.03450648839952819,False,Cash,0.0,0.0,0.0,-0.9,-0.5436786842319732,0.0,True
2023-01,0.0,0.0,0.0,0.08367017221168253,0.03706343549536717,False,Cash,0.0,0.0,0.0,-0.9,0.07841757632334044,0.0,True
2023-02,0.0,0.0,0.0,0.05468957650358911,-0.00864015709376531,False,Cash,0.0,0.0,0.0,-0.8,0.6834982038357091,0.0,True
2023-03,0.0,0.0,0.0,-0.03122752782107439,0.0020798256907992307,False,Cash,0.0,0.0,0.0,-0.7,0.6534319143766819,0.0,False
2023-04,0.0,0.0,0.0,-0.02204460559398136,-0.01166238387033014,False,Cash,0.0,0.0,0.0,-0.5,1.2665215834109171,0.0,True
2023-05,0.0,0.0,0.0,0.08461418640575986,-0.031500000000000083,False,Cash,0.0,0.0,0.0,-0.3,1.2410660928037744,0.0,False
2023-06,0.0,0.0,0.0,0.17214517926544487,0.10810531750129071,False,Cash,0.0,0.0,0.0,-0.1,1.2249659419202321,0.03203943104379508,False
2023-07,0.0,0.0,0.0,0.05434500936935194,0.02888557584793161,False,Cash,0.0,0.0,0.0,0.2,1.8683420017388623,0.0,True
2023-08,0.0,0.0,0.0,0.08022710843957077,-0.01983336352110121,False,Cash,0.0,0.0,0.0,0.5,1.8499781815132994,0.0,True
2023-09,0.005709487732664545,0.008496917875435772,-0.04944158429544956,-0.047941584295449556,-0.06329113924050644,True,"VRT, MOD",1.0,0.8582867618474845,1.8582867618474845,0.7,1.2267829412990316,0.15970073005130483,True
2023-10,-0.002471021515098328,-0.001187224184555493,-0.0530391228208773,-0.053039122820877305,-0.029788913000591832,True,"VRT, MOD",0.375,0.627421874818928,0.8558648870285566,1.0,1.8494875999271954,0.0,False
