month,basic,inverse_vol,vol_target,trend,drawdown,tail_budget,combined,core_signal,confirmed,XLI,market_on,trailing_ann_vol,trailing_es90,shadow_drawdown,vol_multiplier,es_multiplier,dd_multiplier,trend_multiplier,combined_exposure,combined_hedge_fraction,shadow_return,core_signal_gross,core_signal_turnover
2021-06,-0.009727206097302475,0.006245777316415154,0.006245777316415154,0.006245777316415154,0.006245777316415154,0.006245777316415154,0.011740594600700115,0.009979505410595101,0.0,-0.025875190258751846,True,,,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.007745777316415154,0.011541924378943373,1.0416126455655152
2021-07,0.03972864408833304,0.042313135081887915,0.042313135081887915,0.042313135081887915,0.042313135081887915,0.042313135081887915,0.040217359190118276,0.03418475531160054,0.0,0.009374999999999911,True,,,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.042325430710485605,0.03419805593765572,0.008867084036786599
2021-08,-0.015624349220217586,0.009997648051721356,0.009997648051721356,0.009997648051721356,0.009997648051721356,0.009997648051721356,0.007594065569696648,0.006454955734242154,0.0,0.011126160990712064,True,,,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.010190754783173866,0.006629651007697615,0.1164635156369741
2021-09,-0.0997723261234497,-0.10416848401037214,-0.10416848401037214,-0.05280816495407083,-0.10416848401037214,-0.10416848401037214,-0.039278483056949455,-0.03338671059840703,0.0,-0.06382164386183142,False,,,0.0,1.0,1.0,1.0,0.5,0.5,0.5,-0.10411632990814165,-0.032745570945622776,0.4274264351895046
2021-10,0.06320353110428845,0.07186280223485372,0.07186280223485372,0.03593140111742686,0.03529868026213364,0.07186280223485372,0.020140566515850413,0.017119481538472852,0.0,0.06796811120196233,False,,,-0.10411632990814168,1.0,1.0,0.5,0.5,0.5,0.5,0.07209736052426728,0.017244452460781455,0.08331394820573473
2021-11,0.008998288451370358,0.018306637924766736,0.018306637924766736,0.017590265861546623,0.017590265861546623,0.018306637924766736,0.02584316495609939,0.021966690212684478,0.0,-0.035601492965834036,True,,,-0.03952548195772532,1.0,1.0,1.0,1.0,1.0,0.25,0.018340265861546624,0.022604283416624245,0.4250621359598452
2021-12,0.03621122007999546,0.04331753379277696,0.04169677638022443,0.021020036419307362,0.04331753379277696,0.04331753379277696,0.008747690956942895,0.007435537313401457,0.0,0.050014885382554386,False,0.2076625851314513,,-0.021910123943589266,0.9631007909941945,1.0,1.0,0.5,0.5,0.5,0.043540072838614725,0.008089819792366155,0.4361883193097992
2022-01,-0.13053349786301835,-0.13069628813359055,-0.13071618946076174,-0.13141084064725303,-0.13069628813359055,-0.13069628813359055,-0.1195662720418909,-0.10163133123560726,0.0,-0.04791607598525671,True,0.19527066881246877,,0.0,1.0,1.0,1.0,1.0,1.0,0.25,-0.13066084064725303,-0.10099091591224973,0.42694354890501374
2022-02,-0.08926552756019837,-0.09015758994181934,-0.0717348790261035,-0.04577691683130951,-0.04577691683130951,-0.09015758994181934,-0.04355129768696383,-0.03701860303391925,0.0,-0.008437562040897295,False,0.2521648357355527,,-0.13066084064725303,0.7931319980306121,1.0,0.5,0.5,0.5,0.5,-0.09005383366261902,-0.0363555021621821,0.44206724782477
2022-03,-0.011424541806938495,-0.0123708195951471,-0.009682818303081117,-0.00618540979757355,-0.0034283175319535794,-0.0123708195951471,-0.007987121330359193,-0.006789053130805313,0.0,0.03093402743017326,False,0.255478028005839,,-0.20894816470000632,0.7828461866608308,1.0,0.25,0.5,0.25,0.5,-0.012213270127814318,-0.006309542315938256,0.3196738765780383
2022-04,-0.10074119737018072,-0.09765335881500989,-0.0811383365456495,-0.048826679407504944,-0.024413339703752472,-0.09765335881500989,-0.014246812388213546,-0.012109790529981517,0.0,-0.07613128762866583,False,0.24088013602991656,,-0.21860949444962852,0.8302884716702444,1.0,0.25,0.5,0.25,0.5,-0.09763735844128621,-0.012096739621464639,0.008700605677919342
2022-05,0.08844896069525618,0.08910016654404526,0.0728671770982537,0.04455008327202263,0.022275041636011315,0.08910016654404526,0.022907484655287434,0.01947136195699432,0.0,-0.004624763506411611,False,0.24454234492852925,,-0.29490239932266793,0.8178542659286786,1.0,0.25,0.5,0.25,0.5,0.0891800945727258,0.01949412646349995,0.015176337670420818
2022-06,-0.0836017553222875,-0.08021214503537599,-0.062099430675092056,-0.040106072517687996,-0.020053036258843998,-0.054987210463781876,-0.010014409899095876,-0.008512248414231493,0.0,-0.07771911298838441,False,0.2582519047456355,-0.11738858527769734,-0.23202172861126136,0.7744376568954621,0.6814972666273302,0.25,0.5,0.25,0.5,-0.07998484958492255,-0.008452620052179127,0.03975224136824382
