strategy,months,invested_months,total_return,annual_return,annual_vol,sharpe,max_drawdown,active_hit_rate,hac_t,hac_p
"Confirmed, regime-adjusted hedge",63,8,0.25481583502165495,0.04418425683318983,0.07527900407740967,0.6098422801536817,-0.03382822202114644,0.625,1.0269259006718765,0.308445259415118
Naive ONI long,63,12,0.5867582885896416,0.09192429413401237,0.12894657332187295,0.7436129664441472,-0.09985836885442179,0.6666666666666666,1.1718598997470715,0.24573685491462555
Cooling basket,63,63,3.8426383076944077,0.3504913779964367,0.31929930030781173,1.1062539613035784,-0.3083285932369708,0.6031746031746031,2.510257617993381,0.014687865670552146
XLI,63,63,0.6660007610350058,0.10210721810533485,0.18327798273978846,0.6219477297962848,-0.21708723183063994,0.5238095238095238,2.010068743190403,0.048779992423364504
