month,variant,ticker,weight,hedge_weight,gross_exposure,net_exposure,turnover,cost
2021-06,basic,MOD,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,AAON,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,VRT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,NVT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,JCI,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,TT,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,SPXC,0.14285714285714285,0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,basic,XLI_HEDGE,0.0,-0.0,0.9999999999999998,0.9999999999999998,1.0,0.0015
2021-06,inverse_vol,MOD,0.04789137372726496,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,AAON,0.14341430663485893,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,VRT,0.1943803088016035,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,NVT,0.10166460858867334,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,JCI,0.25,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,TT,0.13294978612557312,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,SPXC,0.1296996161220261,0.0,1.0,1.0,1.0,0.0015
2021-06,inverse_vol,XLI_HEDGE,0.0,-0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,MOD,0.04789137372726496,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,AAON,0.14341430663485893,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,VRT,0.1943803088016035,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,NVT,0.10166460858867334,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,JCI,0.25,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,TT,0.13294978612557312,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,SPXC,0.1296996161220261,0.0,1.0,1.0,1.0,0.0015
2021-06,vol_target,XLI_HEDGE,0.0,-0.0,1.0,1.0,1.0,0.0015
2021-06,trend,MOD,0.04789137372726496,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,AAON,0.14341430663485893,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,VRT,0.1943803088016035,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,NVT,0.10166460858867334,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,JCI,0.25,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,TT,0.13294978612557312,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,SPXC,0.1296996161220261,0.0,1.0,1.0,1.0,0.0015
2021-06,trend,XLI_HEDGE,0.0,-0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,MOD,0.04789137372726496,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,AAON,0.14341430663485893,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,VRT,0.1943803088016035,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,NVT,0.10166460858867334,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,JCI,0.25,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,TT,0.13294978612557312,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,SPXC,0.1296996161220261,0.0,1.0,1.0,1.0,0.0015
2021-06,drawdown,XLI_HEDGE,0.0,-0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,MOD,0.04789137372726496,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,AAON,0.14341430663485893,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,VRT,0.1943803088016035,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,NVT,0.10166460858867334,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,JCI,0.25,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,TT,0.13294978612557312,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,SPXC,0.1296996161220261,0.0,1.0,1.0,1.0,0.0015
2021-06,tail_budget,XLI_HEDGE,0.0,-0.0,1.0,1.0,1.0,0.0015
2021-06,combined,MOD,0.04789137372726496,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,AAON,0.14341430663485893,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,VRT,0.1943803088016035,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,NVT,0.10166460858867334,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,JCI,0.25,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,TT,0.13294978612557312,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,SPXC,0.1296996161220261,0.0,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,combined,XLI_HEDGE,0.0,-0.2254266418417826,1.0,0.7745733581582174,1.2254266418417825,0.0018381399627626738
2021-06,confirmed,MOD,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,AAON,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,VRT,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,NVT,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,JCI,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,TT,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,SPXC,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,confirmed,XLI_HEDGE,0.0,-0.0,0.0,0.0,0.0,0.0
2021-06,core_signal,MOD,0.04070766766817521,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
2021-06,core_signal,AAON,0.1219021606396301,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
2021-06,core_signal,VRT,0.165223262481363,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
2021-06,core_signal,NVT,0.08641491730037233,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
2021-06,core_signal,JCI,0.2125,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
2021-06,core_signal,TT,0.11300731820673715,0.0,0.8499999999999999,0.6583873544344847,1.0416126455655152,0.001562418968348273
