month,train_end,test_end,spec,train_n,train_r,train_p,alpha,beta,x,prediction,actual,position,turnover,strategy_net
2009-11,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.3,-0.10315255255129048,-0.028247310430910666,-1.0,1.0,0.026247310430910664
2009-12,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.3,-0.10315255255129048,0.09425187006296687,-1.0,0.0,-0.09425187006296687
2010-01,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.2,-0.07496932578636639,-0.1821204912971357,-1.0,0.0,0.1821204912971357
2010-02,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.09999999999999998,-0.046786099021442276,-0.04235223080603667,-1.0,0.0,0.04235223080603667
2010-03,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.09999999999999998,-0.046786099021442276,0.12378033178665149,-1.0,0.0,-0.12378033178665149
2010-04,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.20000000000000007,-0.07496932578636639,0.20477255037919262,-1.0,0.0,-0.20477255037919262
2010-05,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.4,-0.1313357793162146,-0.10407719465342868,-1.0,0.0,0.10407719465342868
2010-06,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.19999999999999996,-0.07496932578636636,-0.35624335095455306,-1.0,0.0,0.35624335095455306
2010-07,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,0.0,-0.018602872256518188,0.2127848872782101,-1.0,0.0,-0.2127848872782101
2010-08,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,-0.30000000000000004,0.06594680803825412,0.02511683755876737,1.0,2.0,0.02111683755876737
2010-09,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,-0.29999999999999993,0.06594680803825408,0.18564220948686705,1.0,0.0,0.18564220948686705
2010-10,2009-10,2010-10,dONI lag 3,60,-0.26138377217754427,0.043664426697417796,-0.018602872256518188,-0.28183226764924096,-0.5,0.1223132615681023,0.004040653023325458,1.0,0.0,0.004040653023325458
2010-11,2010-10,2011-10,dONI lag 3,72,-0.2520478952834674,0.03268914400420947,-0.011019721579304233,-0.24223571062524665,-0.6000000000000001,0.1343217047958438,0.024815824542610887,1.0,0.0,0.024815824542610887
2010-12,2010-10,2011-10,dONI lag 3,72,-0.2520478952834674,0.03268914400420947,-0.011019721579304233,-0.24223571062524665,-0.49999999999999994,0.11009813373331909,0.05238688861657215,1.0,0.0,0.05238688861657215
2011-01,2010-10,2011-10,dONI lag 3,72,-0.2520478952834674,0.03268914400420947,-0.011019721579304233,-0.24223571062524665,-0.30000000000000004,0.06165099160826978,0.03948746359035704,1.0,0.0,0.03948746359035704
