delay_months,n,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,hac_t,hac_p,ic,ic_p,asset,target_kind,start,end,blocks,modal_spec,modal_share,median_train_abs_r
1,293,-0.01199222791363963,0.21710411223532375,0.05708632991162871,-0.7857902317464194,0.5290102389078498,0.23801671541871736,0.8120350619064571,0.035831650114128394,0.5412568567879742,Copper,delay 1,2002-03,2026-07,25,dONI lag 3,0.6,0.17932765486898272
1,293,-0.0038409590375199087,0.17244674907797064,0.06570909840367874,-0.743616922676474,0.5358361774744027,0.2804415400639002,0.7793373541085699,-0.002520126018625786,0.9657387762272199,Aluminum,delay 1,2002-03,2026-07,25,dONI lag 4,0.68,0.15594406954347456
1,293,-0.1077271372970463,0.2878364294946139,-0.2481585170199273,-0.9524699828747589,0.45051194539249145,-0.9931302360520844,0.3214687437823329,-0.10647590046364552,0.06876510290966303,Nickel,delay 1,2002-03,2026-07,25,dONI lag 4,0.44,0.1203438788812791
2,292,0.08319252734007976,0.21524880073212854,0.4756517477620251,-0.49627529747915955,0.5616438356164384,1.7981024004427995,0.07319716842445691,0.08900036328481903,0.12918386196429632,Copper,delay 2,2002-04,2026-07,25,dONI lag 2,0.68,0.1773435363977442
2,292,0.012354947275703854,0.1725107178060693,0.15931158885092525,-0.743616922676474,0.5513698630136986,0.6463944082817563,0.5185334206783185,-0.036229370455078014,0.537475640981617,Aluminum,delay 2,2002-04,2026-07,25,dONI lag 3,0.56,0.15449028177796523
2,292,-0.14814980143704037,0.28665016981661035,-0.40949854355514703,-0.9870341182114906,0.4383561643835616,-1.6719073161572182,0.09561746315854566,-0.16378906167959545,0.005019241604023763,Nickel,delay 2,2002-04,2026-07,25,dONI lag 3,0.4,0.12139815841479631
3,291,0.1036949261460478,0.21470155201863325,0.5636323103399113,-0.49627529747915966,0.5670103092783505,2.1188967721374072,0.03494913540895787,0.08067370940899188,0.16990620623943373,Copper,delay 3,2002-05,2026-07,25,dONI lag 1,0.68,0.17820875678067288
3,291,0.006241685996986268,0.17277817147587118,0.12424729968440645,-0.7436169226764738,0.5463917525773195,0.5277785134180271,0.5980566492789171,-0.02296803071174149,0.6964105603883587,Aluminum,delay 3,2002-05,2026-07,25,dONI lag 2,0.64,0.15627108954591135
3,291,-0.05106141311992385,0.2887334767602963,-0.03599862178042372,-0.9500253150155732,0.47079037800687284,-0.15771655010345476,0.874789916899974,-0.07778501522719368,0.1857663823022943,Nickel,delay 3,2002-05,2026-07,25,dONI lag 12,0.48,0.12398356009091194
