series,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
Passive insurance basket,4.8144021038369775,581440.2103836978,0.2567240290989539,0.9788025913652654,-0.37994810707502324,0.5432645034414946,,0,0
US P&C insurance benchmark (KIE proxy),1.2270627960693057,222706.27960693056,0.22305148467440286,0.5572663956071741,-0.4472281449893396,0.5525272547076313,,0,0
SPY,1.1896406387294634,218964.06387294634,0.1761573100475854,0.6398312536671823,-0.34104746704498434,0.5564317397732873,,0,0
Enhanced short/order-book,-0.2191775099723644,78082.24900276356,0.06359422951053187,-0.4503373997894877,-0.26317027514187963,0.4844315713251267,,0,0
Core MA + ATR,-0.2474797632112441,75252.02367887559,0.09743773106071058,-0.31356062030510035,-0.3011557645853571,0.48567870485678705,,0,0
