episode,trade_start,trade_end,series,tickers,return,ending_capital,ann_vol,sharpe,max_drawdown,active_day_hit,exposure,trades,stops
2009-05 to 2010-04,2009-08-01,2010-07-31,Core MA + ATR,8,-0.1933809751119826,80661.90248880174,0.06052481498605169,-3.532988134929848,-0.2000438655221456,0.42011834319526625,0.12250996015936255,103,8
2009-05 to 2010-04,2009-08-01,2010-07-31,Enhanced short/order-book,8,-0.15434297699447208,84565.70230055279,0.0502121983355268,-3.325706086855964,-0.16115339324459843,0.4177215189873418,0.09163346613545817,77,6
2009-05 to 2010-04,2009-08-01,2010-07-31,Passive insurance basket,8,0.39348399590470806,139348.3995904708,0.3467681613158904,1.134226817885014,-0.19791638705168546,0.5418326693227091,,0,0
2009-05 to 2010-04,2009-08-01,2010-07-31,US P&C insurance benchmark (KIE proxy),1,0.21061000267239205,121061.0002672392,0.3003238524855684,0.7889273524148959,-0.1993077965775153,0.5418326693227091,,0,0
2009-05 to 2010-04,2009-08-01,2010-07-31,SPY,1,0.09141016091488918,109141.01609148891,0.18717059653999296,0.5626637250001869,-0.1609884245956814,0.5697211155378487,,0,0
2012-06 to 2012-12,2012-09-01,2013-03-31,Core MA + ATR,8,0.011063359464841716,101106.33594648418,0.036535873059945365,0.556379222467876,-0.01686414895687749,0.5952380952380952,0.18085106382978725,73,5
2012-06 to 2012-12,2012-09-01,2013-03-31,Enhanced short/order-book,8,-0.002415390472522927,99758.4609527477,0.02605978412103339,-0.15292606269109763,-0.015925255932017768,0.5280898876404494,0.09131205673758866,32,4
2012-06 to 2012-12,2012-09-01,2013-03-31,Passive insurance basket,8,0.20306039612342075,120306.03961234208,0.1494198349692946,2.287114033755397,-0.07582506676803658,0.5673758865248227,,0,0
2012-06 to 2012-12,2012-09-01,2013-03-31,US P&C insurance benchmark (KIE proxy),1,0.19373165827338212,119373.1658273382,0.13036887918260745,2.4941496096820757,-0.07091834352677517,0.6142857142857143,,0,0
2012-06 to 2012-12,2012-09-01,2013-03-31,SPY,1,0.08653544205157226,108653.54420515723,0.11966151615280851,1.2993260502600434,-0.0783754414561263,0.5611510791366906,,0,0
2014-03 to 2016-06,2014-06-01,2016-09-30,Core MA + ATR,8,-0.016576398312667107,98342.36016873328,0.05028158696751076,-0.11688851763366268,-0.0684797603822701,0.5011709601873536,0.20084745762711864,278,19
2014-03 to 2016-06,2014-06-01,2016-09-30,Enhanced short/order-book,8,0.008136197744109674,100813.61977441097,0.032837884706285805,0.1217822575255351,-0.03561673533855492,0.5043731778425656,0.11313559322033899,177,10
2014-03 to 2016-06,2014-06-01,2016-09-30,Passive insurance basket,8,0.18002648474809124,118002.64847480912,0.15003649348957196,0.5463044946035766,-0.13534686056728595,0.5305084745762711,,0,0
2014-03 to 2016-06,2014-06-01,2016-09-30,US P&C insurance benchmark (KIE proxy),1,0.1427777915294841,114277.77915294841,0.1469757600139856,0.4614135194165535,-0.1571107744480984,0.540447504302926,,0,0
2014-03 to 2016-06,2014-06-01,2016-09-30,SPY,1,0.096685457753789,109668.5457753789,0.14191189851748703,0.34876491490377787,-0.14351288056206113,0.5178268251273345,,0,0
2017-02 to 2017-07,2017-05-01,2017-10-31,Core MA + ATR,9,-0.03103080099079314,96896.9199009207,0.032409299739832254,-1.8836526500592548,-0.03414898628860619,0.4824561403508772,0.1834625322997416,75,5
2017-02 to 2017-07,2017-05-01,2017-10-31,Enhanced short/order-book,9,-0.026806333095969803,97319.36669040303,0.025169979864595515,-2.0961369535347987,-0.03220815574507663,0.5053763440860215,0.12575366063738158,55,3
2017-02 to 2017-07,2017-05-01,2017-10-31,Passive insurance basket,9,0.0937890648770594,109378.90648770594,0.12255204120082518,1.4903716890502554,-0.08526838049361896,0.5271317829457365,,0,0
2017-02 to 2017-07,2017-05-01,2017-10-31,US P&C insurance benchmark (KIE proxy),1,0.05118937469408058,105118.93746940806,0.11420850308094208,0.910880189834081,-0.08855417754569217,0.5426356589147286,,0,0
2017-02 to 2017-07,2017-05-01,2017-10-31,SPY,1,0.06275915238575203,106275.91523857521,0.0718572691789723,1.6908918499839576,-0.020817363940775158,0.5891472868217055,,0,0
2018-06 to 2020-05,2018-09-01,2020-08-31,Core MA + ATR,9,0.001408389441151403,100140.83894411514,0.16788780151266183,0.08618641459946315,-0.16991217812879822,0.4718498659517426,0.2104913678618858,268,21
2018-06 to 2020-05,2018-09-01,2020-08-31,Enhanced short/order-book,9,-0.0044862984920091,99551.37015079909,0.10231092488854025,0.02856086963955336,-0.14691698020556299,0.486646884272997,0.15338645418326693,206,16
2018-06 to 2020-05,2018-09-01,2020-08-31,Passive insurance basket,9,0.1531438628086299,115314.386280863,0.30152022856627986,0.39017949081475456,-0.37994810707502336,0.5517928286852589,,0,0
2018-06 to 2020-05,2018-09-01,2020-08-31,US P&C insurance benchmark (KIE proxy),1,-0.0828384831460659,91716.15168539342,0.3220177043156795,0.028166932202813622,-0.44722814498933916,0.5481927710843374,,0,0
2018-06 to 2020-05,2018-09-01,2020-08-31,SPY,1,0.1610799765767652,116107.99765767652,0.2583331485826042,0.4202430943994296,-0.34104746704498423,0.5708582834331337,,0,0
2023-04 to 2024-08,2023-07-01,2024-11-30,Core MA + ATR,12,-0.01371053062483707,98628.94693751629,0.08041669400152023,-0.08107089455166348,-0.11873218518993356,0.4838709677419355,0.22175536881419236,286,28
2023-04 to 2024-08,2023-07-01,2024-11-30,Enhanced short/order-book,12,-0.04314119374394121,95685.88062560587,0.06284771940153602,-0.46388864091398335,-0.103101045990182,0.487012987012987,0.138422035480859,189,17
2023-04 to 2024-08,2023-07-01,2024-11-30,Passive insurance basket,12,1.3135887950449505,231358.87950449504,0.3237827348200102,1.9916108984116654,-0.22670498250164028,0.5490196078431373,,0,0
2023-04 to 2024-08,2023-07-01,2024-11-30,US P&C insurance benchmark (KIE proxy),1,0.4107463062622265,141074.63062622264,0.15213402724768885,1.6738409997879542,-0.08354138659496857,0.5746478873239437,,0,0
2023-04 to 2024-08,2023-07-01,2024-11-30,SPY,1,0.2857001421223626,128570.01421223626,0.12799527961459045,1.4504587280243746,-0.10290744664584184,0.5814606741573034,,0,0
2025-04 to 2025-06,2025-07-01,2025-09-30,Core MA + ATR,12,-0.0195958754130513,98040.41245869487,0.04169062462302997,-1.8482860327877333,-0.02307865004874976,0.42857142857142855,0.17708333333333331,54,3
2025-04 to 2025-06,2025-07-01,2025-09-30,Enhanced short/order-book,12,-0.009636260628821391,99036.37393711787,0.040964727007900666,-0.9104695227051994,-0.020068975979431025,0.41509433962264153,0.09895833333333333,27,2
2025-04 to 2025-06,2025-07-01,2025-09-30,Passive insurance basket,12,0.007211442354857489,100721.14423548574,0.1948134071466422,0.24137503448933473,-0.05461144648267957,0.546875,,0,0
2025-04 to 2025-06,2025-07-01,2025-09-30,US P&C insurance benchmark (KIE proxy),1,-0.008519919651825192,99148.00803481748,0.1560859314363424,-0.13893057915690393,-0.06558201945655806,0.5,,0,0
2025-04 to 2025-06,2025-07-01,2025-09-30,SPY,1,0.06126096139839743,106126.09613983975,0.09016120750953377,2.6421739512360265,-0.024140637262596076,0.53125,,0,0
