episode,ticker,strategy,entry_date,side,entry_price,exit_date,exit_reason,exit_price
2018-06 to 2020-05,MCY,Core MA + ATR,2019-06-26,long,61.48,2019-06-27,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-07-01,long,62.74,2019-07-03,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-07-09,long,63.71,2019-07-10,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-08-09,short,55.45,2019-08-22,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-08-26,short,51.75,2019-08-30,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-10-03,short,53.4,2019-10-07,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-10-25,short,53.22,2019-10-28,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-10-29,short,47.33,2019-11-06,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-12-12,short,48.59,2019-12-13,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-12-16,short,48.76,2019-12-18,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2019-12-24,short,48.13,2019-12-26,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-01-13,short,47.39,2020-01-14,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-01-24,short,48.17,2020-01-27,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-02-11,long,53.36,2020-02-19,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-02-21,long,51.1,2020-02-24,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-03-10,short,41.76,2020-03-25,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-04-06,short,39.45,2020-04-07,signal,
2018-06 to 2020-05,MCY,Core MA + ATR,2020-05-05,short,39.51,2020-05-11,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2018-09-05,long,54.25,2018-09-07,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2018-11-05,long,60.28,2018-11-07,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2018-11-08,long,60.93,2018-11-13,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2018-12-10,long,58.42,2018-12-11,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-02-12,short,49.59,2019-02-13,ATR stop,52.96352404686666
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-05-06,long,55.71,2019-05-14,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-05-30,long,57.53,2019-06-06,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-06-26,long,61.48,2019-06-27,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-07-01,long,62.74,2019-07-03,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-07-09,long,63.71,2019-07-10,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-10-03,short,53.4,2019-10-07,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-10-29,short,47.33,2019-11-06,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2019-12-24,short,48.13,2019-12-26,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2020-02-11,long,53.36,2020-02-19,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2020-02-21,long,51.1,2020-02-24,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2020-03-24,short,35.97,2020-03-25,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2020-04-06,short,39.45,2020-04-07,signal,
2018-06 to 2020-05,MCY,Enhanced short/order-book,2020-05-05,short,39.51,2020-05-11,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2018-10-09,long,77.58,2018-10-11,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2018-10-24,short,73.99,2018-10-26,ATR stop,75.2140496835905
2018-06 to 2020-05,CINF,Core MA + ATR,2018-11-12,long,81.43,2018-11-15,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2018-11-20,long,80.41,2018-11-21,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2018-11-23,long,79.23,2018-11-26,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-01-04,short,75.39,2019-01-10,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-02-08,long,83.82,2019-02-14,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-04-26,long,93.71,2019-05-08,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-05-13,long,95.12,2019-05-14,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-05-15,long,95.2,2019-05-21,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-06-06,long,101.65,2019-06-11,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-06-24,long,104.97,2019-06-26,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-07-02,long,104.99,2019-07-12,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-08-01,long,107.17,2019-08-02,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-08-07,long,105.95,2019-08-15,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-08-20,long,110.33,2019-08-21,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-08-22,long,110.5,2019-08-26,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-08-28,long,109.84,2019-09-09,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-09-10,long,113.31,2019-09-11,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-10-07,long,117.21,2019-10-08,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-10-10,long,114.83,2019-10-14,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2019-11-11,short,108.5,2019-11-13,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-01-28,short,105.09,2020-01-31,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-02-03,short,105.84,2020-02-04,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-02-07,long,113.13,2020-02-19,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-03-11,short,92.51,2020-03-20,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-03-23,short,73.1,2020-03-30,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-04-01,short,71.94,2020-04-08,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-04-29,short,73.14,2020-05-13,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-05-14,short,47.67,2020-05-19,signal,
2018-06 to 2020-05,CINF,Core MA + ATR,2020-06-12,short,61.06,2020-06-15,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2018-10-09,long,77.58,2018-10-11,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2018-11-12,long,81.43,2018-11-15,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2018-11-20,long,80.41,2018-11-21,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2018-11-23,long,79.23,2018-11-26,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-02-08,long,83.82,2019-02-14,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-04-26,long,93.71,2019-05-08,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-05-13,long,95.12,2019-05-14,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-05-15,long,95.2,2019-05-21,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-06-06,long,101.65,2019-06-11,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-06-24,long,104.97,2019-06-26,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-07-02,long,104.99,2019-07-12,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-08-01,long,107.17,2019-08-02,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-08-07,long,105.95,2019-08-15,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-08-20,long,110.33,2019-08-21,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-08-22,long,110.5,2019-08-26,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-08-28,long,109.84,2019-09-09,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-09-10,long,113.31,2019-09-11,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-10-07,long,117.21,2019-10-08,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-10-10,long,114.83,2019-10-14,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2019-11-12,short,109.24,2019-11-13,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2020-02-07,long,113.13,2020-02-19,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2020-03-24,short,69.53,2020-03-30,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2020-04-01,short,71.94,2020-04-08,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2020-05-12,short,54.0,2020-05-13,signal,
2018-06 to 2020-05,CINF,Enhanced short/order-book,2020-05-14,short,47.67,2020-05-19,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2018-10-02,long,70.84,2018-10-03,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2018-10-18,long,70.43,2018-10-24,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2018-10-31,long,70.16,2018-11-02,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2018-11-06,long,69.62,2018-11-07,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2018-11-08,long,72.74,2018-11-14,ATR stop,69.33
2018-06 to 2020-05,PGR,Core MA + ATR,2018-11-20,short,64.17,2018-11-29,ATR stop,65.04443350643264
2018-06 to 2020-05,PGR,Core MA + ATR,2018-12-10,short,63.2,2019-01-02,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-01-04,short,59.05,2019-01-08,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-04-17,long,77.25,2019-04-25,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-04-29,long,76.44,2019-05-02,ATR stop,75.71082289656225
2018-06 to 2020-05,PGR,Core MA + ATR,2019-05-16,long,77.61,2019-05-30,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-06-05,long,81.88,2019-06-10,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-08-09,short,79.84,2019-08-12,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-08-14,short,78.0,2019-08-22,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-08-26,short,75.63,2019-09-03,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-09-04,short,75.98,2019-09-05,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-09-16,short,72.68,2019-09-20,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-10-17,short,73.54,2019-10-29,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-11-21,short,70.82,2019-11-26,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-12-12,short,71.16,2019-12-13,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-12-17,short,71.01,2019-12-18,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2019-12-20,short,72.36,2019-12-24,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2020-01-08,long,72.92,2020-01-10,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2020-01-30,long,79.74,2020-02-11,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2020-03-20,short,67.2,2020-03-27,signal,
2018-06 to 2020-05,PGR,Core MA + ATR,2020-06-19,long,83.16,2020-06-23,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-10-02,long,70.84,2018-10-03,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-10-18,long,70.43,2018-10-24,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-10-31,long,70.16,2018-11-02,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-11-06,long,69.62,2018-11-07,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-11-08,long,72.74,2018-11-14,ATR stop,69.33
2018-06 to 2020-05,PGR,Enhanced short/order-book,2018-12-11,short,64.89,2019-01-02,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-01-04,short,59.05,2019-01-08,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-04-17,long,77.25,2019-04-25,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-04-29,long,76.44,2019-05-02,ATR stop,75.71082289656225
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-05-16,long,77.61,2019-05-30,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-06-05,long,81.88,2019-06-10,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-08-09,short,79.84,2019-08-12,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2019-10-17,short,73.54,2019-10-28,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2020-01-08,long,72.92,2020-01-10,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2020-01-30,long,79.74,2020-02-11,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2020-03-24,short,70.17,2020-03-27,signal,
2018-06 to 2020-05,PGR,Enhanced short/order-book,2020-06-19,long,83.16,2020-06-23,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2018-10-19,long,105.95,2018-10-23,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2018-10-26,short,95.54,2018-11-01,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2018-11-15,short,99.25,2018-11-16,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2018-11-21,short,97.22,2018-11-29,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2018-12-07,short,92.38,2018-12-27,ATR stop,87.95747648396754
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-02-19,long,98.19,2019-02-20,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-06-05,long,103.36,2019-06-07,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-07-02,long,109.11,2019-07-08,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-08-08,long,118.36,2019-08-23,ATR stop,119.05655791224231
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-09-03,long,122.39,2019-09-05,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-10-07,long,126.19,2019-10-08,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-10-11,long,126.32,2019-10-14,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-11-04,long,128.06,2019-11-06,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-11-07,long,127.57,2019-11-19,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2019-11-27,long,133.91,2019-11-29,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-01-21,long,133.31,2020-01-22,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-02-04,long,133.9,2020-02-12,ATR stop,135.29203454205512
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-02-14,long,140.44,2020-02-24,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-03-11,short,110.69,2020-03-24,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-04-06,short,102.81,2020-04-07,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-04-17,short,104.08,2020-04-20,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-04-21,short,100.75,2020-04-22,signal,
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-05-14,short,86.39,2020-05-18,ATR stop,96.34113965150378
2018-06 to 2020-05,AIZ,Core MA + ATR,2020-08-06,long,121.56,2020-08-14,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2018-10-19,long,105.95,2018-10-23,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2018-11-27,short,98.56,2018-11-29,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2018-12-07,short,92.38,2018-12-11,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-02-19,long,98.19,2019-02-20,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-06-05,long,103.36,2019-06-07,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-07-02,long,109.11,2019-07-08,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-08-08,long,118.36,2019-08-23,ATR stop,119.05655791224231
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-09-03,long,122.39,2019-09-05,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-10-07,long,126.19,2019-10-08,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-10-11,long,126.32,2019-10-14,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-11-04,long,128.06,2019-11-06,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-11-07,long,127.57,2019-11-19,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2019-11-27,long,133.91,2019-11-29,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-01-21,long,133.31,2020-01-22,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-02-04,long,133.9,2020-02-12,ATR stop,135.29203454205512
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-02-14,long,140.44,2020-02-24,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-04-06,short,102.81,2020-04-07,signal,
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-05-14,short,86.39,2020-05-18,ATR stop,96.34113965150378
2018-06 to 2020-05,AIZ,Enhanced short/order-book,2020-08-06,long,121.56,2020-08-14,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2018-09-12,short,52.17,2018-09-13,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2018-10-09,long,53.88,2018-10-11,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2018-10-15,short,49.75,2018-11-01,ATR stop,43.38796447461257
2018-06 to 2020-05,AIG,Core MA + ATR,2018-11-13,short,42.56,2018-11-19,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2018-12-03,short,43.84,2018-12-19,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2018-12-24,short,37.08,2018-12-27,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-02-26,long,43.63,2019-02-27,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-05-08,long,50.04,2019-05-23,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-06-05,long,53.34,2019-06-10,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-08-09,long,56.5,2019-08-13,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-08-14,long,55.09,2019-08-15,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2019-08-28,short,52.53,2019-09-04,ATR stop,54.16129879419894
2018-06 to 2020-05,AIG,Core MA + ATR,2019-12-13,short,51.15,2019-12-17,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2020-01-24,short,51.67,2020-02-04,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2020-02-13,long,55.77,2020-02-13,ATR stop,53.795020505083684
2018-06 to 2020-05,AIG,Core MA + ATR,2020-02-18,short,48.11,2020-03-25,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2020-04-02,short,21.11,2020-04-09,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2020-04-17,short,24.23,2020-04-20,signal,
2018-06 to 2020-05,AIG,Core MA + ATR,2020-04-21,short,22.5,2020-04-23,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2018-09-12,short,52.17,2018-09-13,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2018-10-09,long,53.88,2018-10-11,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2018-10-26,short,42.04,2018-11-01,ATR stop,43.38796447461257
2018-06 to 2020-05,AIG,Enhanced short/order-book,2018-12-03,short,43.84,2018-12-19,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2018-12-24,short,37.08,2018-12-26,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2019-02-26,long,43.63,2019-02-27,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2019-05-08,long,50.04,2019-05-23,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2019-08-09,long,56.5,2019-08-13,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2019-08-28,short,52.53,2019-09-04,ATR stop,54.16129879419894
2018-06 to 2020-05,AIG,Enhanced short/order-book,2019-12-13,short,51.15,2019-12-17,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2020-01-28,short,50.4,2020-02-04,signal,
2018-06 to 2020-05,AIG,Enhanced short/order-book,2020-02-13,long,55.77,2020-02-13,ATR stop,53.795020505083684
2018-06 to 2020-05,AIG,Enhanced short/order-book,2020-02-18,short,48.11,2020-03-24,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-09-04,short,216.05,2018-09-11,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-10-09,short,219.05,2018-10-10,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-10-11,short,216.84,2018-10-12,ATR stop,224.06023028659516
2018-06 to 2020-05,BAP,Core MA + ATR,2018-10-17,long,224.73,2018-10-19,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-10-26,short,212.34,2018-10-31,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-11-06,long,229.76,2018-11-09,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-11-16,long,222.51,2018-11-21,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-11-23,long,220.46,2018-11-26,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-11-29,long,222.61,2018-11-30,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-12-04,long,223.1,2018-12-06,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-12-12,short,224.27,2018-12-18,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2018-12-20,short,215.75,2018-12-21,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-01-29,long,237.51,2019-01-30,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-01-31,long,236.19,2019-02-04,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-05-09,short,223.93,2019-05-21,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-05-29,short,218.42,2019-06-03,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-06-14,short,220.1,2019-06-18,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-08-09,short,216.99,2019-08-20,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-08-21,short,206.57,2019-08-22,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-08-26,short,202.33,2019-08-30,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-09-24,short,206.28,2019-09-27,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-10-02,short,204.15,2019-10-09,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-11-05,long,214.43,2019-11-06,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2019-11-07,long,213.9,2019-11-08,ATR stop,209.01915377842238
2018-06 to 2020-05,BAP,Core MA + ATR,2019-12-04,short,206.28,2019-12-09,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2020-01-16,long,214.59,2020-01-24,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2020-02-05,long,216.34,2020-02-06,ATR stop,207.30491895243338
2018-06 to 2020-05,BAP,Core MA + ATR,2020-02-19,short,202.76,2020-02-24,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2020-02-25,short,194.47,2020-03-03,ATR stop,192.46365329567175
2018-06 to 2020-05,BAP,Core MA + ATR,2020-03-10,short,180.5,2020-03-31,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2020-04-08,short,133.21,2020-04-09,signal,
2018-06 to 2020-05,BAP,Core MA + ATR,2020-04-13,short,136.03,2020-04-14,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-09-04,short,216.05,2018-09-11,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-10-09,short,219.05,2018-10-10,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-10-11,short,216.84,2018-10-12,ATR stop,224.06023028659516
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-10-26,short,212.34,2018-10-31,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-12-12,short,224.27,2018-12-18,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2018-12-20,short,215.75,2018-12-21,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-05-09,short,223.93,2019-05-21,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-05-29,short,218.42,2019-06-03,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-06-14,short,220.1,2019-06-18,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-08-09,short,216.99,2019-08-20,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-08-21,short,206.57,2019-08-22,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-08-26,short,202.33,2019-08-30,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-09-24,short,206.28,2019-09-27,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-10-02,short,204.15,2019-10-09,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-11-05,long,214.43,2019-11-06,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-11-07,long,213.9,2019-11-08,ATR stop,209.01915377842238
2018-06 to 2020-05,BAP,Enhanced short/order-book,2019-12-04,short,206.28,2019-12-09,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-02-05,long,216.34,2020-02-06,ATR stop,207.30491895243338
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-02-19,short,202.76,2020-02-24,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-02-25,short,194.47,2020-03-03,ATR stop,192.46365329567175
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-03-10,short,180.5,2020-03-31,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-04-08,short,133.21,2020-04-09,signal,
2018-06 to 2020-05,BAP,Enhanced short/order-book,2020-04-13,short,136.03,2020-04-14,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-09-25,long,100.43,2018-09-26,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-10-17,short,95.2,2018-10-19,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-10-25,short,92.54,2018-10-31,ATR stop,96.5420503918732
2018-06 to 2020-05,ALL,Core MA + ATR,2018-11-02,short,90.37,2018-11-09,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-11-15,short,87.86,2018-11-27,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-11-28,short,87.77,2018-11-29,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-12-06,short,85.63,2018-12-24,signal,
2018-06 to 2020-05,ALL,Core MA + ATR,2018-12-26,short,77.55,2018-12-28,signal,
