episode,date,series,return
2009-05 to 2010-04,2009-12-07,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-08,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-09,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-10,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-11,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-14,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-15,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-16,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-17,Core MA + ATR,0.0009790718465539673
2009-05 to 2010-04,2009-12-18,Core MA + ATR,0.0005509121970087607
2009-05 to 2010-04,2009-12-21,Core MA + ATR,-0.0009584694465795649
2009-05 to 2010-04,2009-12-22,Core MA + ATR,0.0006772445820433237
2009-05 to 2010-04,2009-12-23,Core MA + ATR,0.0001603797793174322
2009-05 to 2010-04,2009-12-24,Core MA + ATR,0.00038441824705279237
2009-05 to 2010-04,2009-12-28,Core MA + ATR,-9.375e-05
2009-05 to 2010-04,2009-12-29,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-30,Core MA + ATR,0.0
2009-05 to 2010-04,2009-12-31,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-04,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-05,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-06,Core MA + ATR,-0.0011732521590043059
2009-05 to 2010-04,2010-01-07,Core MA + ATR,-6.172335383039163e-05
2009-05 to 2010-04,2010-01-08,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-11,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-12,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-13,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-14,Core MA + ATR,0.0
2009-05 to 2010-04,2010-01-15,Core MA + ATR,-0.001160302901023879
2009-05 to 2010-04,2010-01-19,Core MA + ATR,-0.0005240425989672912
2009-05 to 2010-04,2010-01-20,Core MA + ATR,-0.00013377561639450397
2009-05 to 2010-04,2010-01-21,Core MA + ATR,-0.007387554819010612
2009-05 to 2010-04,2010-01-22,Core MA + ATR,-0.0005008390450093496
2009-05 to 2010-04,2010-01-25,Core MA + ATR,-0.0005590105459057185
2009-05 to 2010-04,2010-01-26,Core MA + ATR,-0.0024517434620174305
2009-05 to 2010-04,2010-01-27,Core MA + ATR,-0.0008750755060066028
2009-05 to 2010-04,2010-01-28,Core MA + ATR,0.0020719734955008894
2009-05 to 2010-04,2010-01-29,Core MA + ATR,-0.0010173344138770996
2009-05 to 2010-04,2010-02-01,Core MA + ATR,0.0020131094331325683
2009-05 to 2010-04,2010-02-02,Core MA + ATR,-6.7157024053291e-05
2009-05 to 2010-04,2010-02-03,Core MA + ATR,-2.1520752883057165e-05
2009-05 to 2010-04,2010-02-04,Core MA + ATR,-0.002418838242017128
2009-05 to 2010-04,2010-02-05,Core MA + ATR,-0.0063394219047570675
2009-05 to 2010-04,2010-02-08,Core MA + ATR,0.002808306947426895
2009-05 to 2010-04,2010-02-09,Core MA + ATR,-0.004012260206035139
2009-05 to 2010-04,2010-02-10,Core MA + ATR,-0.015012506324894344
2009-05 to 2010-04,2010-02-11,Core MA + ATR,-0.004724595539043916
2009-05 to 2010-04,2010-02-12,Core MA + ATR,2.0947059171890154e-05
2009-05 to 2010-04,2010-02-16,Core MA + ATR,-0.0007908307844548289
2009-05 to 2010-04,2010-02-17,Core MA + ATR,0.000726018012013035
2009-05 to 2010-04,2010-02-18,Core MA + ATR,0.006954042518108276
2009-05 to 2010-04,2010-02-19,Core MA + ATR,-0.0011176512704479495
2009-05 to 2010-04,2010-02-22,Core MA + ATR,0.001561025794809795
2009-05 to 2010-04,2010-02-23,Core MA + ATR,-0.0010606614150231557
2009-05 to 2010-04,2010-02-24,Core MA + ATR,-0.00021656994595922385
2009-05 to 2010-04,2010-02-25,Core MA + ATR,-0.0003794176460985946
2009-05 to 2010-04,2010-02-26,Core MA + ATR,6.986256544503155e-05
2009-05 to 2010-04,2010-03-01,Core MA + ATR,0.009637524624022007
2009-05 to 2010-04,2010-03-02,Core MA + ATR,-5.251514817907594e-05
2009-05 to 2010-04,2010-03-03,Core MA + ATR,-0.0006908104276895214
2009-05 to 2010-04,2010-03-04,Core MA + ATR,-0.008292851681681332
2009-05 to 2010-04,2010-03-05,Core MA + ATR,-9.910244473478741e-05
2009-05 to 2010-04,2010-03-08,Core MA + ATR,0.0006207141168124708
2009-05 to 2010-04,2010-03-09,Core MA + ATR,0.001029411764705862
2009-05 to 2010-04,2010-03-10,Core MA + ATR,0.00032088681446906797
2009-05 to 2010-04,2010-03-11,Core MA + ATR,-0.008263689504246365
2009-05 to 2010-04,2010-03-12,Core MA + ATR,-0.0031330688674422735
2009-05 to 2010-04,2010-03-15,Core MA + ATR,0.0003288117516311584
2009-05 to 2010-04,2010-03-16,Core MA + ATR,-0.00258616066041234
2009-05 to 2010-04,2010-03-17,Core MA + ATR,0.00196191424944216
2009-05 to 2010-04,2010-03-18,Core MA + ATR,-0.0019368043327649062
