universe,sample,ticker,entry_date,exit_date,status,equity_before_hkd,entry_debit_hkd,realized_pnl_hkd,equity_after_hkd,risk_share_if_executed,within_20pct_risk_cap,partial_window
Monthly,Completed only,PWR,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,61214.8787185,69899.34575174999,0.0,61214.8787185,1.1418685655359377,False,False
Monthly,Completed only,GEV,2026-05-01,2026-05-29,Skipped: one straddle cost exceeded equity,100000.0,128120.74554075,0.0,100000.0,1.2812074554075,False,False
Monthly,Completed only,GEV,2026-06-01,2026-06-29,Skipped: one straddle cost exceeded equity,100000.0,114702.20560799999,0.0,100000.0,1.14702205608,False,False
Monthly,Completed only,GEV,2026-07-01,2026-07-29,Skipped: one straddle cost exceeded equity,100000.0,174311.93855399993,0.0,100000.0,1.7431193855399993,False,False
Monthly,Completed only,GEV,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,100000.0,143879.76547274998,0.0,100000.0,1.4387976547274997,False,False
ONI-gated,Through 2026-09-11,VRT,2026-07-01,2026-07-29,Executed: one straddle,100000.0,57403.408758,25415.078600749992,125415.07860074998,0.57403408758,False,False
ONI-gated,Through 2026-09-11,VRT,2026-08-03,2026-08-28,Executed: one straddle,125415.07860074998,40360.227708,-17354.922593,108060.15600774999,0.3218131994836436,False,False
ONI-gated,Through 2026-09-11,VRT,2026-09-01,2026-09-11,Executed: one straddle,108060.15600774999,31272.882073749995,-5093.027463749997,102967.12854399999,0.2894025256775229,False,True
ONI-gated,Through 2026-09-11,MOD,2026-07-01,2026-07-29,Executed: one straddle,100000.0,53480.73531599999,1567.6262307500074,101567.62623075,0.5348073531599999,False,False
ONI-gated,Through 2026-09-11,ETN,2026-07-01,2026-07-29,Executed: one straddle,100000.0,46599.98026199999,-8946.177146499998,91053.8228535,0.4659998026199999,False,False
ONI-gated,Through 2026-09-11,ETN,2026-08-03,2026-08-28,Executed: one straddle,91053.8228535,48542.764352499995,-26882.768917499994,64171.053936,0.5331216508130836,False,False
ONI-gated,Through 2026-09-11,ETN,2026-09-01,2026-09-11,Executed: one straddle,64171.053936,29979.308857499997,4191.3786025000045,68362.4325385,0.467178065789591,False,True
ONI-gated,Through 2026-09-11,PWR,2026-07-01,2026-07-29,Executed: one straddle,100000.0,93736.36768799997,-18189.18805149998,81810.81194850002,0.9373636768799997,False,False
ONI-gated,Through 2026-09-11,PWR,2026-08-03,2026-08-28,Executed: one straddle,81810.81194850002,69899.34575174999,-25193.27824174999,56617.53370675003,0.854402298265316,False,False
ONI-gated,Through 2026-09-11,PWR,2026-09-01,2026-09-11,Executed: one straddle,56617.53370675003,56011.4655075,-3297.4577974999993,53320.07590925003,0.9892953973871564,False,True
ONI-gated,Through 2026-09-11,GEV,2026-07-01,2026-07-29,Skipped: one straddle cost exceeded equity,100000.0,174311.93855399993,0.0,100000.0,1.7431193855399993,False,False
ONI-gated,Through 2026-09-11,GEV,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,100000.0,143879.76547274998,0.0,100000.0,1.4387976547274997,False,False
ONI-gated,Through 2026-09-11,GEV,2026-09-01,2026-09-11,Executed: one straddle,100000.0,89877.37300124999,-3043.6560312499787,96956.34396875002,0.8987737300124998,False,True
ONI-gated,Completed only,VRT,2026-07-01,2026-07-29,Executed: one straddle,100000.0,57403.408758,25415.078600749992,125415.07860074998,0.57403408758,False,False
ONI-gated,Completed only,VRT,2026-08-03,2026-08-28,Executed: one straddle,125415.07860074998,40360.227708,-17354.922593,108060.15600774999,0.3218131994836436,False,False
ONI-gated,Completed only,MOD,2026-07-01,2026-07-29,Executed: one straddle,100000.0,53480.73531599999,1567.6262307500074,101567.62623075,0.5348073531599999,False,False
ONI-gated,Completed only,ETN,2026-07-01,2026-07-29,Executed: one straddle,100000.0,46599.98026199999,-8946.177146499998,91053.8228535,0.4659998026199999,False,False
ONI-gated,Completed only,ETN,2026-08-03,2026-08-28,Executed: one straddle,91053.8228535,48542.764352499995,-26882.768917499994,64171.053936,0.5331216508130836,False,False
ONI-gated,Completed only,PWR,2026-07-01,2026-07-29,Executed: one straddle,100000.0,93736.36768799997,-18189.18805149998,81810.81194850002,0.9373636768799997,False,False
ONI-gated,Completed only,PWR,2026-08-03,2026-08-28,Executed: one straddle,81810.81194850002,69899.34575174999,-25193.27824174999,56617.53370675003,0.854402298265316,False,False
ONI-gated,Completed only,GEV,2026-07-01,2026-07-29,Skipped: one straddle cost exceeded equity,100000.0,174311.93855399993,0.0,100000.0,1.7431193855399993,False,False
ONI-gated,Completed only,GEV,2026-08-03,2026-08-28,Skipped: one straddle cost exceeded equity,100000.0,143879.76547274998,0.0,100000.0,1.4387976547274997,False,False
