ticker,observed_straddles,raw_pnl_hkd,friction_cost_hkd,net_pnl_hkd,mean_net_return_on_debit,wins,mean_entry_debit_hkd
VRT,5,-18140.493200000023,10444.836614499993,-28585.329814500015,-0.1665730813057086,1,44275.58987914999
MOD,3,-22475.987159999997,6913.034924499996,-29389.022084499993,-0.19899458567699357,1,50671.13211874999
ETN,5,-54397.857579999996,8639.574885500002,-63037.4324655,-0.27785425936667335,1,40590.3966392
PWR,5,-69798.63812999999,15666.407242249981,-85465.04537224997,-0.23657769368748202,0,70978.98930824999
GEV,5,-75091.43297,29972.969402249888,-105064.40237224988,-0.1453881703546119,1,130178.40563534996
