ticker,signal_group,observations,mean_abs_underlying_return,median_abs_underlying_return,mean_magnitude_coverage,mean_net_straddle_return,straddle_win_rate
VRT,ONI gate true,3,0.13581165880240909,0.0848172841590007,0.6289675691336677,-0.050037710108973836,0.3333333333333333
VRT,ONI gate false,2,0.03991945342719033,0.03991945342719033,0.22486027899476732,-0.34137613810081074,0.0
MOD,ONI gate true,1,0.30442256602594164,0.30442256602594164,1.1713770294648231,0.029311979752847862,1.0
MOD,ONI gate false,2,0.08262301048031861,0.08262301048031861,0.3625901524093398,-0.31314786839191433,0.0
ETN,ONI gate true,3,0.07803885486177846,0.0687956983843816,0.6404885542680776,-0.20198822551025208,0.3333333333333333
ETN,ONI gate false,2,0.05491591156552611,0.05491591156552611,0.4599661242514069,-0.3916533101513052,0.0
PWR,ONI gate true,3,0.12299361970824214,0.08558510718999857,0.8556048103708925,-0.2044465254832607,0.0
PWR,ONI gate false,2,0.025716343579183898,0.025716343579183898,0.2244341328361164,-0.284774445993814,0.0
GEV,ONI gate true,3,0.11892389621522836,0.07737586098230764,0.7007235745520976,-0.2085918619062249,0.0
GEV,ONI gate false,2,0.1295811207178329,0.1295811207178329,0.8766982088943864,-0.0505826330271925,0.5
