ticker,entry_date,exit_date,target_holding_sessions,spot_open,expiration_date,dte_at_entry,strike,call_contract,put_contract,call_entry_open,put_entry_open,call_exit_close,put_exit_close,call_entry_volume,put_entry_volume,call_exit_volume,put_exit_volume,actual_holding_sessions,partial_window,company_role,available_centered_month,ONI,dONI,oni_gate,signal_strength,fx_entry_hkd_per_usd,fx_exit_hkd_per_usd,raw_entry_premium_usd,raw_exit_value_usd,entry_debit_hkd,exit_proceeds_hkd,raw_pnl_hkd,friction_cost_hkd,net_pnl_hkd,net_return_on_debit,within_20pct_initial_cap,affordable_at_initial_capital,underlying_entry,underlying_exit,underlying_return_usd,underlying_return_hkd,abs_underlying_return,premium_implied_move,magnitude_coverage,minimum_leg_volume,option_win,liquidity_flag
MOD,2026-05-01,2026-05-29,20,257.65,2026-06-18,48,260.0,O:MOD260618C00260000,O:MOD260618P00260000,32.77,30.5,32.4,11.1,9,5,204,12,20,False,Thermal-management systems,2026-02,-0.2,0.2,False,Below El Niño threshold,7.83267,7.836099999999999,6327.0,4350.0,50806.418138249996,33224.67219499999,-15470.268090000005,2111.4778532499986,-17581.745943250004,-0.34605364021939294,False,True,257.65,278.91,0.08251503978265107,0.0829890833190765,0.08251503978265107,0.24556568988938485,0.3360202307570736,5,False,Fragile (≤5)
MOD,2026-06-01,2026-06-29,20,279.46,2026-07-17,46,280.0,O:MOD260717C00280000,O:MOD260717P00280000,31.3,28.11,9.95,35.0,8,6,19,2,20,False,Thermal-management systems,2026-03,0.1,0.3,False,Below El Niño threshold,7.83576,7.8404,5941.0,4495.0,47726.242902,34351.34053,-11309.652159999998,2065.250211999999,-13374.902371999997,-0.28024209656443566,False,True,279.46,256.34,-0.08273098117798616,-0.0821878139233313,0.08273098117798616,0.21258856365848422,0.389160074061606,2,False,Fragile (≤5)
MOD,2026-07-01,2026-07-29,20,255.96,2026-08-21,51,250.0,O:MOD260821C00250000,O:MOD260821P00250000,34.62,31.9,3.31,68.7,9,6,21,4,20,False,Thermal-management systems,2026-04,0.5,0.4,True,Moderate (0.5–0.9),7.84221,7.842009999999999,6652.0,7201.000000000001,53480.73531599999,55048.36154675,4303.933090000006,2736.3068592499985,1567.6262307500074,0.029311979752847862,False,True,255.96,178.04,-0.30442256602594164,-0.30444030534773925,0.30442256602594164,0.2598843569307704,1.1713770294648231,4,True,Fragile (≤5)
PWR,2026-05-01,2026-05-29,20,736.55,2026-06-18,48,730.0,O:PWR260618C00730000,O:PWR260618P00730000,38.0,43.0,23.5,41.85,18,10,15,12,20,False,Grid and electrical infrastructure construction,2026-02,-0.2,0.2,False,Below El Niño threshold,7.83267,7.836099999999999,8100.0,6534.999999999999,65040.925145999994,49918.50373249999,-12235.713500000013,2886.707913499995,-15122.421413500007,-0.23250624709833226,False,True,736.55,711.73,-0.0336976444233249,-0.03327449151638173,0.0336976444233249,0.10997216753784536,0.3064197530864192,10,False,Better (>5)
PWR,2026-06-01,2026-06-29,20,702.0,2026-07-17,46,700.0,O:PWR260717C00700000,O:PWR260717P00700000,45.4,42.0,37.5,23.4,5,125,10,57,20,False,Grid and electrical infrastructure construction,2026-03,0.1,0.3,False,Below El Niño threshold,7.83576,7.8404,8740.0,6090.0,70206.842448,46544.14258,-20736.50639999999,2926.193468000005,-23662.699867999996,-0.33704264488929575,False,True,702.0,714.45,0.017735042735042894,0.018337701647297866,0.017735042735042894,0.12450142450142451,0.14244851258581362,5,False,Fragile (≤5)
PWR,2026-07-01,2026-07-29,20,709.07,2026-08-21,51,640.0,O:PWR260821C00640000,O:PWR260821P00640000,84.4,32.2,9.0,89.82,1,5,33,3,20,False,Grid and electrical infrastructure construction,2026-04,0.5,0.4,True,Moderate (0.5–0.9),7.84221,7.842009999999999,11660.0,9882.0,93736.36768799997,75547.17963649999,-13945.42577999999,4243.762271499989,-18189.18805149998,-0.1940462224015593,False,True,709.07,561.14,-0.20862538254333152,-0.20864556498214548,0.20862538254333152,0.16444074632969946,1.2686963979416817,1,False,Fragile (≤5)
PWR,2026-08-03,2026-08-28,20,659.11,2026-09-18,46,660.0,O:PWR260918C00660000,O:PWR260918P00660000,49.35,37.6,5.7,52.8,2,1,17,1,20,False,Grid and electrical infrastructure construction,2026-05,0.9,0.4,True,Moderate (0.5–0.9),7.84181,7.8398,8695.0,5850.0,69899.34575174999,44706.06751,-22321.707949999996,2871.570291749995,-25193.27824174999,-0.36042223243726507,False,True,659.11,602.7,-0.08558510718999857,-0.08581948852983567,0.08558510718999857,0.131920316790824,0.648763657274295,1,False,Fragile (≤5)
PWR,2026-09-01,2026-09-11,20,605.32,2026-10-16,45,620.0,O:PWR261016C00620000,O:PWR261016P00620000,31.3,38.4,51.1,17.85,2,2,1,9,8,True,Grid and electrical infrastructure construction,2026-06,1.4,0.4999999999999999,True,Strong (≥1.0),7.83865,7.8428,6970.0,6895.0,56011.4655075,52714.00771,-559.2845000000016,2738.1732974999977,-3297.4577974999993,-0.058871121610957776,False,True,605.32,650.58,0.07477036939139636,0.07533938280990271,0.07477036939139636,0.1151457080552435,0.6493543758967009,1,False,Fragile (≤5)
VRT,2026-05-01,2026-05-29,20,330.65,2026-06-18,48,330.0,O:VRT260618C00330000,O:VRT260618P00330000,29.81,29.75,13.73,26.96,88,24,147,20,20,False,Power and thermal infrastructure,2026-02,-0.2,0.2,False,Below El Niño threshold,7.83267,7.836099999999999,5956.0,4069.0,47827.849554,31077.776697499998,-14766.291620000004,1983.781236499999,-16750.072856500003,-0.35021588912519147,False,True,330.65,315.71,-0.04518372901859968,-0.04476560597633361,0.04518372901859968,0.18013004687736278,0.2508394895903288,20,False,Better (>5)
VRT,2026-06-01,2026-06-29,20,317.99,2026-07-17,46,320.0,O:VRT260717C00320000,O:VRT260717P00320000,28.9,26.51,13.0,25.88,285,184,54,7,20,False,Power and thermal infrastructure,2026-03,0.1,0.3,False,Below El Niño threshold,7.83576,7.8404,5541.0,3887.9999999999995,44513.581302,29711.19579999999,-12934.470960000002,1867.914542000006,-14802.385502000008,-0.33253638707643,False,True,317.99,306.97,-0.03465517783578098,-0.03408354215847054,0.03465517783578098,0.17425076260259756,0.19888106839920583,7,False,Better (>5)
VRT,2026-07-01,2026-07-29,20,325.8,2026-08-21,51,330.0,O:VRT260821C00330000,O:VRT260821P00330000,32.0,39.4,0.36,107.97,220,8,171,3,20,False,Power and thermal infrastructure,2026-04,0.5,0.4,True,Moderate (0.5–0.9),7.84221,7.842009999999999,7140.000000000001,10833.0,57403.408758,82818.48735874999,28959.11492999998,3544.0363292499896,25415.078600749992,0.4427451113207285,False,True,325.8,223.04,-0.31540822590546347,-0.3154256850598115,0.31540822590546347,0.21915285451197056,1.4392156862745096,3,True,Fragile (≤5)
VRT,2026-08-03,2026-08-28,20,236.98,2026-09-18,46,240.0,O:VRT260918C00240000,O:VRT260918P00240000,27.65,22.55,24.65,5.46,73,30,24,65,20,False,Power and thermal infrastructure,2026-05,0.9,0.4,True,Moderate (0.5–0.9),7.84181,7.8398,5020.0,3011.0,40360.227708,23005.305115,-15760.2484,1594.674192999999,-17354.922593,-0.43000061145740254,False,True,236.98,257.08,0.0848172841590007,0.08453922555503568,0.0848172841590007,0.21183222212844968,0.40039840637450164,24,False,Better (>5)
VRT,2026-09-01,2026-09-11,20,255.22,2026-10-16,45,260.0,O:VRT261016C00260000,O:VRT261016P00260000,17.0,21.91,16.25,18.0,272,8,312,26,8,True,Power and thermal infrastructure,2026-06,1.4,0.4999999999999999,True,Strong (≥1.0),7.83865,7.8428,3890.9999999999995,3425.0,31272.882073749995,26179.85461,-3638.597149999998,1454.4303137499992,-5093.027463749997,-0.1628576301902475,False,True,255.22,257.06,0.007209466342763093,0.007742711134318236,0.007209466342763093,0.15245670402006112,0.04728861475199169,8,False,Better (>5)
