ticker,company,subsector,benchmark,signal,horizon_months,n,r,slope,hac_t,p,confidence,q_bh_global,q_bh_family,p_over_50pct
XOM,Exxon Mobil,Integrated,SPY,ONI,1,274,-0.1259015509962254,-0.009418515011531238,-2.0543649032096134,0.04089583574914598,0.959104164250854,0.13866865294676076,0.11349368916773572,False
XOM,Exxon Mobil,Integrated,SPY,ONI,3,272,-0.19567977616444693,-0.02700160340061477,-2.146717915240773,0.03270665262017001,0.96729334737983,0.1221048364486347,0.10659946039166522,False
XOM,Exxon Mobil,Integrated,SPY,ONI,6,269,-0.25998788163882375,-0.052606403205127425,-2.306109846333806,0.02187077617399147,0.9781292238260085,0.10337346742261923,0.0968120590560478,False
XOM,Exxon Mobil,Integrated,SPY,ONI,12,263,-0.2991066337015615,-0.09236681151216912,-2.2801062966316064,0.02340830518589968,0.9765916948141004,0.1034893492429249,0.0968120590560478,False
XOM,Exxon Mobil,Integrated,SPY,dONI,1,274,-0.05412917066311334,-0.01639544525861056,-0.8715139642946942,0.3842421697186096,0.6157578302813904,0.6288878321378656,0.5202047836190407,False
XOM,Exxon Mobil,Integrated,SPY,dONI,3,272,-0.055476570048620034,-0.03134322335069087,-0.6536469968165414,0.5138955378333007,0.48610446216669934,0.7135078541817728,0.587100868526603,True
XOM,Exxon Mobil,Integrated,SPY,dONI,6,269,-0.01869860075354236,-0.01552624057114567,-0.19889615029074956,0.8424953525014168,0.15750464749858317,0.9414088118345796,0.8615410691775681,True
XOM,Exxon Mobil,Integrated,SPY,dONI,12,263,-0.05358108257383627,-0.0680262646982463,-0.6262167906069471,0.5317200276320282,0.4682799723679718,0.72625174505838,0.5922957269825124,True
XOM,Exxon Mobil,Integrated,XLE,ONI,1,274,0.01263163837479353,0.0005909640965962156,0.20690241475961038,0.836240873406526,0.16375912659347402,0.9414088118345796,0.9773236126407123,True
XOM,Exxon Mobil,Integrated,XLE,ONI,3,272,-0.031685146796992775,-0.002673224214446506,-0.3507126560214418,0.7260774035592789,0.27392259644072114,0.8712928842711346,0.9773236126407123,True
XOM,Exxon Mobil,Integrated,XLE,ONI,6,269,-0.17133115818869163,-0.02117967779697081,-1.361332789141281,0.17455626781732222,0.8254437321826777,0.3665681624163767,0.4654833808461926,False
XOM,Exxon Mobil,Integrated,XLE,ONI,12,263,-0.34419113000645285,-0.05250751172852964,-2.394412449544089,0.01735300401997144,0.9826469959800286,0.08834256591985461,0.0867650200998572,False
XOM,Exxon Mobil,Integrated,XLE,dONI,1,274,0.10540746718357658,0.019967021189578753,1.6252510487092253,0.10526716843918867,0.8947328315608113,0.29474807162972827,0.36270263232077316,False
XOM,Exxon Mobil,Integrated,XLE,dONI,3,272,0.2429465707759231,0.08392297683877432,2.487364448872295,0.013473408199825423,0.9865265918001745,0.08807406767934843,0.0867650200998572,False
XOM,Exxon Mobil,Integrated,XLE,dONI,6,269,0.2816993448536911,0.14290273263360526,2.2905905374625606,0.02276677556331495,0.977233224436685,0.10337346742261923,0.10713776735677624,False
XOM,Exxon Mobil,Integrated,XLE,dONI,12,263,0.012548017135183415,0.007869952309206162,0.15733586414664905,0.8751018030868492,0.12489819691315085,0.9484974381844559,0.9773236126407123,True
CVX,Chevron,Integrated,SPY,ONI,1,274,-0.08693593082378975,-0.006396663571189287,-1.4927266120781908,0.1366677468427114,0.8633322531572886,0.32338283759965514,0.2733354936854228,False
CVX,Chevron,Integrated,SPY,ONI,3,272,-0.13614860137925233,-0.017454319900567644,-1.5304922068257572,0.1270656965058732,0.8729343034941268,0.32039710466449567,0.27029738432259365,False
CVX,Chevron,Integrated,SPY,ONI,6,269,-0.18214159382641237,-0.03181547589602491,-1.5221805204227494,0.12914728488719782,0.8708527151128022,0.32039710466449567,0.27029738432259365,False
CVX,Chevron,Integrated,SPY,ONI,12,263,-0.199650578125194,-0.054111943113409104,-1.4288309743468581,0.15424849443962813,0.8457515055603719,0.3409703561297043,0.2827889064726516,False
CVX,Chevron,Integrated,SPY,dONI,1,274,-0.061646350949143475,-0.018365470719102044,-1.0384286720388276,0.2999927514764622,0.7000072485235378,0.5305134973478489,0.4399893688321446,False
CVX,Chevron,Integrated,SPY,dONI,3,272,-0.07617737631110316,-0.039985837986634964,-1.0136012414657565,0.31168050883135334,0.6883194911686467,0.5454408904548683,0.4480511374845383,False
CVX,Chevron,Integrated,SPY,dONI,6,269,-0.04555220965561654,-0.032652048904699936,-0.5507252379831132,0.5822825333406358,0.41771746665936416,0.7543730892416353,0.6405107866746994,True
CVX,Chevron,Integrated,SPY,dONI,12,263,-0.0382950246702192,-0.04267171959156978,-0.40466687569530163,0.6860538306736774,0.3139461693263226,0.847478261420425,0.7362528914546782,True
CVX,Chevron,Integrated,XLE,ONI,1,274,0.08226581044787094,0.0036128155369381707,1.4595797141119558,0.14555955098503817,0.8544404490149619,0.3342967742433696,0.4158844313858233,False
CVX,Chevron,Integrated,XLE,ONI,3,272,0.09291491984248502,0.006874059285600614,1.0806602918722437,0.2808125667784033,0.7191874332215966,0.5241834579863529,0.660735451243302,False
CVX,Chevron,Integrated,XLE,ONI,6,269,-0.0036394053694015814,-0.000388750487868273,-0.028451112613876534,0.9773236126407123,0.022676387359287675,0.9773236126407122,0.9773236126407123,True
CVX,Chevron,Integrated,XLE,ONI,12,263,-0.10019587454717696,-0.014252643329769596,-0.5877361171277251,0.5572175806002216,0.44278241939977836,0.7498292934905215,0.9126359565239053,True
CVX,Chevron,Integrated,XLE,dONI,1,274,0.10121225893015888,0.017996995729087285,1.6101655584463617,0.10852159159324684,0.8914784084067532,0.2948421398220478,0.36270263232077316,False
CVX,Chevron,Integrated,XLE,dONI,3,272,0.2485211982616696,0.07528036220283027,2.69508905853834,0.0074784884582475815,0.9925215115417524,0.0785241288115996,0.0867650200998572,False
CVX,Chevron,Integrated,XLE,dONI,6,269,0.286938455631687,0.12577692430005105,2.5469122763272067,0.011429723187434048,0.9885702768125659,0.0857282821179207,0.0867650200998572,False
CVX,Chevron,Integrated,XLE,dONI,12,263,0.056811677065243385,0.03322449741588272,0.5684236238031828,0.5702360831221334,0.42976391687786664,0.7543280469647119,0.9126359565239053,True
