structure,trades,risk_budget_per_trade,capital_deployed_total,raw_profit,friction_cost,net_pre_tax_profit,tax_paid,after_tax_profit,gross_portfolio_return,net_pre_tax_return,after_tax_return,return_on_deployed_capital,win_rate,worst_trade_pnl
O2 Long COP ATM put,2,0.1,20115.8,14651.0,1405.8749999999975,13245.125000000004,4900.696250000001,8344.428750000003,0.14651,0.13245125000000005,0.08344428750000003,0.658443860050309,1.0,4930.050000000002
O5 Paired vertical spreads,2,0.1,19239.75,4353.0,1716.6249999999989,2636.3750000000005,975.4587500000001,1660.9162500000002,0.04353,0.026363750000000005,0.016609162500000003,0.13702750815369225,1.0,668.1000000000017
O3 Long XLE call + COP put,2,0.1,18944.5,616.0,1000.3999999999974,-384.39999999999736,0.0,-384.39999999999736,0.00616,-0.0038439999999999737,-0.0038439999999999737,-0.02029084958695122,0.5,-385.5249999999987
O4 XLE bull call spread,2,0.1,18661.574999999997,-10351.0,1086.775,-11437.775,0.0,-11437.775,-0.10351,-0.11437775,-0.11437775,-0.6129051272467625,0.0,-8435.375
O1 Long XLE ATM call,2,0.1,18914.299999999996,-12036.0,687.699999999997,-12723.699999999997,0.0,-12723.699999999997,-0.12036,-0.12723699999999996,-0.12723699999999996,-0.6727026641218549,0.0,-8724.599999999999
